Age_cal BP,T_anomaly,T_upper_err,T_lower_err,age1,wmean,95_upper,95_lower,plot_at,JRI_warmth_age,definition,age2,age3,age4,age5,age6,age7,age8,age9
-100,0.242499369,0.201557917,0.304312934,-100,0.011,-0.08,0.102,3.97,2200,greater_than_0.102,6800,3000,2500,5700,6200,9300,3400,0
0,-0.298547781,-0.24814361,-0.374648196,12000,0.011,-0.08,0.102,3.97,2500,upper_95,7300,3300,5300,6000,6700,12800,3600,100
100,-0.010917361,-0.009074171,-0.013700218,,,,,,,,,,,,,,,
200,-0.273936753,-0.227687691,-0.343763769,,,,,,,,,,,,,,,
300,-0.40534469,-0.336909873,-0.508667847,,,,,,,,,,,,,,,
400,-0.685115153,-0.569446361,-0.859752349,,,,,,,,,,,,,,,
500,-0.986705319,-0.820118707,-1.238218439,,,,,,,,,,,,,,,
600,-0.351281846,-0.291974522,-0.440824278,,,,,,,,,,,,,,,
700,-0.868753685,-0.722080985,-1.090200703,,,,,,,,,,,,,,,
800,-0.45690351,-0.379763957,-0.573369111,,,,,,,,,,,,,,,
900,-0.507619987,-0.421917912,-0.637013318,,,,,,,,,,,,,,,
1000,-0.529862059,-0.440404829,-0.664924937,,,,,,,,,,,,,,,
1100,-0.421001722,-0.349923509,-0.528315887,,,,,,,,,,,,,,,
1200,-0.523281301,-0.434935107,-0.656666731,,,,,,,,,,,,,,,
1300,-0.531905586,-0.442103344,-0.667489363,,,,,,,,,,,,,,,
1400,0.108105374,0.089853817,0.135661645,,,,,,,,,,,,,,,
1500,-0.093444562,-0.077668207,-0.117263764,,,,,,,,,,,,,,,
1600,-0.643806289,-0.53511172,-0.807913774,,,,,,,,,,,,,,,
1700,-0.279110276,-0.231987762,-0.350256033,,,,,,,,,,,,,,,
1800,0.006508665,0.0054098,0.008167737,,,,,,,,,,,,,,,
1900,-0.077767035,-0.064637535,-0.097590005,,,,,,,,,,,,,,,
2000,-0.151102248,-0.125591479,-0.189618507,,,,,,,,,,,,,,,
2100,0.037518985,0.031184611,0.047082648,,,,,,,,,,,,,,,
2200,0.260186154,0.216258622,0.326508115,,,,,,,,,,,,,,,
2300,-0.128293549,-0.106633599,-0.160995826,,,,,,,,,,,,,,,
2400,0.270244056,0.224618436,0.339129796,,,,,,,,,,,,,,,
2500,0.279245662,0.23210029,0.350425928,,,,,,,,,,,,,,,
2600,0.121457192,0.100951433,0.152416869,,,,,,,,,,,,,,,
2700,0.328088693,0.272697096,0.411719145,,,,,,,,,,,,,,,
2800,0.1474659,0.12256906,0.185055247,,,,,,,,,,,,,,,
2900,0.089354228,0.074268449,0.112130796,,,,,,,,,,,,,,,
3000,0.243974443,0.202783953,0.306164007,,,,,,,,,,,,,,,
3100,0.584285735,0.485640091,0.733221314,,,,,,,,,,,,,,,
3200,0.278777721,0.231711352,0.349838708,,,,,,,,,,,,,,,
3300,-0.058513835,-0.048634876,-0.073429126,,,,,,,,,,,,,,,
3400,0.178370371,0.148255892,0.223837328,,,,,,,,,,,,,,,
3500,0.149278132,0.124075331,0.187329421,,,,,,,,,,,,,,,
3600,0.10385914,0.08632448,0.130333039,,,,,,,,,,,,,,,
3700,0.373014495,0.310038022,0.468096621,,,,,,,,,,,,,,,
3800,0.315736709,0.262430511,0.396218615,,,,,,,,,,,,,,,
3900,0.450488212,0.37443176,0.56531854,,,,,,,,,,,,,,,
4000,0.252922925,0.210221652,0.317393474,,,,,,,,,,,,,,,
4100,0.451424236,0.375209755,0.566493159,,,,,,,,,,,,,,,
4200,0.335051264,0.278484168,0.420456488,,,,,,,,,,,,,,,
4300,0.270501687,0.224832571,0.339453097,,,,,,,,,,,,,,,
4400,0.375422316,0.312039328,0.471118201,,,,,,,,,,,,,,,
4500,0.382591075,0.317997777,0.480114291,,,,,,,,,,,,,,,
4600,0.239590799,0.199140404,0.300662963,,,,,,,,,,,,,,,
4700,0.272310002,0.226335586,0.341722355,,,,,,,,,,,,,,,
4800,0.231946258,0.1927865,0.291069814,,,,,,,,,,,,,,,
4900,0.079113642,0.065756793,0.099279864,,,,,,,,,,,,,,,
5000,0.129972963,0.108029476,0.163103326,,,,,,,,,,,,,,,
5100,0.212380355,0.176523931,0.266516523,,,,,,,,,,,,,,,
5200,0.425526538,0.353684395,0.533994086,,,,,,,,,,,,,,,
5300,-0.061214366,-0.050879473,-0.076818028,,,,,,,,,,,,,,,
5400,-0.046347371,-0.03852249,-0.058161406,,,,,,,,,,,,,,,
5500,0.022559035,0.018750367,0.028309378,,,,,,,,,,,,,,,
5600,0.21870842,0.181783622,0.274457625,,,,,,,,,,,,,,,
5700,0.403710183,0.335551321,0.5066167,,,,,,,,,,,,,,,
5800,0.039344408,0.032701845,0.049373374,,,,,,,,,,,,,,,
5900,0.159111315,0.132248365,0.199669101,,,,,,,,,,,,,,,
6000,-0.158228223,-0.131514367,-0.198560907,,,,,,,,,,,,,,,
6100,0.195000474,0.162078316,0.244706477,,,,,,,,,,,,,,,
6200,0.053105891,0.044139962,0.066642687,,,,,,,,,,,,,,,
6300,0.135437469,0.112571403,0.169960745,,,,,,,,,,,,,,,
6400,0.15551707,0.129260942,0.195158677,,,,,,,,,,,,,,,
6500,0.126962263,0.105527076,0.159325193,,,,,,,,,,,,,,,
6600,0.227637514,0.189205207,0.285662763,,,,,,,,,,,,,,,
6700,-0.025683517,-0.021347339,-0.032230296,,,,,,,,,,,,,,,
6800,0.27530996,0.228829057,0.345487008,,,,,,,,,,,,,,,
6900,0.042733566,0.035518808,0.053626436,,,,,,,,,,,,,,,
7000,0.004248178,0.003530953,0.005331047,,,,,,,,,,,,,,,
7100,0.281511635,0.233983696,0.353269502,,,,,,,,,,,,,,,
7200,0.060116701,0.049967128,0.075440566,,,,,,,,,,,,,,,
7300,-0.002633571,-0.002188942,-0.003304873,,,,,,,,,,,,,,,
7400,0.377219326,0.313532946,0.473373272,,,,,,,,,,,,,,,
7500,0.280978456,0.233540535,0.352600415,,,,,,,,,,,,,,,
7600,0.039839178,0.033113083,0.049994262,,,,,,,,,,,,,,,
7700,0.21657164,0.180007596,0.271776175,,,,,,,,,,,,,,,
7800,-0.058517632,-0.048638032,-0.073433891,,,,,,,,,,,,,,,
7900,0.193709967,0.161005687,0.243087018,,,,,,,,,,,,,,,
8000,0.212776787,0.176853433,0.267014007,,,,,,,,,,,,,,,
8100,0.384566063,0.319639325,0.482592707,,,,,,,,,,,,,,,
8200,0.265422359,0.220610792,0.333079039,,,,,,,,,,,,,,,
8300,0.112342035,0.093375198,0.14097824,,,,,,,,,,,,,,,
8400,0.118708674,0.09866695,0.148967747,,,,,,,,,,,,,,,
8500,0.12961917,0.107735414,0.16265935,,,,,,,,,,,,,,,
8600,0.058062096,0.048259405,0.072862239,,,,,,,,,,,,,,,
8700,0.390269692,0.324380004,0.489750202,,,,,,,,,,,,,,,
8800,0.361586951,0.300539804,0.453756174,,,,,,,,,,,,,,,
8900,0.366522055,0.304641708,0.459949246,,,,,,,,,,,,,,,
9000,0.361578062,0.300532415,0.453745019,,,,,,,,,,,,,,,
9100,0.028904195,0.024024266,0.036271931,,,,,,,,,,,,,,,
9200,0.073692692,0.061251069,0.092477103,,,,,,,,,,,,,,,
9300,0.577947327,0.480371804,0.725267233,,,,,,,,,,,,,,,
9400,0.604588835,0.502515395,0.758699714,,,,,,,,,,,,,,,
9500,0.922106573,0.766426242,1.157153346,,,,,,,,,,,,,,,
9600,0.782352396,0.650266927,0.981775556,,,,,,,,,,,,,,,
9700,0.994688724,0.826754264,1.24823683,,,,,,,,,,,,,,,
9800,0.807285249,0.670990337,1.013063842,,,,,,,,,,,,,,,
9900,0.799669514,0.664660375,1.003506841,,,,,,,,,,,,,,,
10000,0.552402779,0.459139972,0.69321133,,,,,,,,,,,,,,,
10100,0.469806213,0.390488281,0.589560738,,,,,,,,,,,,,,,
10200,0.426770587,0.35471841,0.535555247,,,,,,,,,,,,,,,
10300,0.973887048,0.809464559,1.222132766,,,,,,,,,,,,,,,
10400,1.119625723,0.930598003,1.405020515,,,,,,,,,,,,,,,
10500,0.898704419,0.746975101,1.127785937,,,,,,,,,,,,,,,
10600,0.794605718,0.660451506,0.997152273,,,,,,,,,,,,,,,
10700,0.818619715,0.680411192,1.027287486,,,,,,,,,,,,,,,
10800,0.783824985,0.651490897,0.983623511,,,,,,,,,,,,,,,
10900,0.943350428,0.784083473,1.183812302,,,,,,,,,,,,,,,
11000,1.164128311,0.967587168,1.460866901,,,,,,,,,,,,,,,
11100,1.253435806,1.041816774,1.572939051,,,,,,,,,,,,,,,
11200,1.517383841,1.261202153,1.904167957,,,,,,,,,,,,,,,
11300,1.245999022,1.035635551,1.563606616,,,,,,,,,,,,,,,
11400,0.956263463,0.794816385,1.200016895,,,,,,,,,,,,,,,
11500,1.284137946,1.067335436,1.611467227,,,,,,,,,,,,,,,
11600,1.496667428,1.243983317,1.87817089,,,,,,,,,,,,,,,
11700,1.326621352,1.102646319,1.664779736,,,,,,,,,,,,,,,
11800,1.626593951,1.351974193,2.041215938,,,,,,,,,,,,,,,
11900,0.780433912,0.648672343,0.979368047,,,,,,,,,,,,,,,
12000,1.253615123,1.041965816,1.573164076,,,,,,,,,,,,,,,
12100,1.056375598,0.878026471,1.325647809,,,,,,,,,,,,,,,
12200,0.946683846,0.786854106,1.187995415,,,,,,,,,,,,,,,
12300,0.850741028,0.707109426,1.067596584,,,,,,,,,,,,,,,
12400,0.840587432,0.698670073,1.054854817,,,,,,,,,,,,,,,
12500,0.775958608,0.644952609,0.973751979,,,,,,,,,,,,,,,
12600,0.460420145,0.382686874,0.577782143,,,,,,,,,,,,,,,
12700,0.224479874,0.186580674,0.281700234,,,,,,,,,,,,,,,
12800,-0.275618528,-0.229085529,-0.345874231,,,,,,,,,,,,,,,
12900,-0.498496966,-0.41433514,-0.62556482,,,,,,,,,,,,,,,
13000,-0.562978907,-0.46793052,-0.706483334,,,,,,,,,,,,,,,
13100,-0.65427967,-0.543816869,-0.821056841,,,,,,,,,,,,,,,
13200,-0.896718367,-0.745324357,-1.125293637,,,,,,,,,,,,,,,
13300,-0.880224503,-0.731615171,-1.104595454,,,,,,,,,,,,,,,
13400,-0.82980018,-0.689704046,-1.041317873,,,,,,,,,,,,,,,
13500,-0.834832777,-0.693886984,-1.047633289,,,,,,,,,,,,,,,
13600,-0.486688045,-0.404519934,-0.610745782,,,,,,,,,,,,,,,
13700,-0.521655558,-0.433583841,-0.654626583,,,,,,,,,,,,,,,
13800,-0.702960449,-0.584278815,-0.882146446,,,,,,,,,,,,,,,
13900,-0.775646323,-0.644693048,-0.973360092,,,,,,,,,,,,,,,
14000,-0.541535266,-0.450107234,-0.679573667,,,,,,,,,,,,,,,
14100,-0.38613212,-0.320940983,-0.484557954,,,,,,,,,,,,,,,
14200,-0.241365421,-0.200615415,-0.30288994,,,,,,,,,,,,,,,