filename,position_mm,Section_depth_cm,Strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,S1,D1,D2,D3,D4,D6,S2,Cra_+_Cra,Cra_+_Fea,Fex1,Fex2,Fex3,W_La_el,W_Lb1_el,W_Lb2_el,W_La_inel,W_Lb1_inel,W_Lb2_inel,Cr_inc,Cr_coh,inc&coh,inc_coh,coh_inc
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000000.spe,312,0,0,6.59,0,0.018543,-0.012284,0.010373,0.119708,6197,1.57,0,14,90,0,23,0,269,465,3773,12,1954,177,0,6416,0,66,74,94,0,19,0,56,0,482,59,82,192,0,298,47,0,39,376,124,0,95,0,50,0,125,17,25,45,0,7,1337,58,59,0,0,14,771,11,9,138,60,271,103,119,112,18,7,0,5728,6410,12138,0.47190641,1.119064246
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000001.spe,314,0.2,0.2,6.8,1,0.018543,-0.012284,0.010349,0.119708,5708,1.58,0,0,85,0,0,0,450,533,3971,0,2153,110,810,6661,103,84,58,0,0,0,0,0,0,489,12,93,133,0,126,110,0,72,541,74,42,95,115,0,6,88,26,30,31,0,63,340,0,48,11,0,0,118,0,76,140,69,220,98,70,102,34,125,0,4244,5451,9695,0.437751418,1.284401508
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000002.spe,316,0.4,0.4,6.87,1,0.018544,-0.012284,0.010301,0.119708,5247,1.5,9,0,56,0,7,0,546,446,3010,28,1624,116,86,5513,0,0,60,70,0,14,6,37,0,404,54,84,137,0,67,71,16,55,432,145,0,79,0,130,31,256,31,63,50,0,28,754,134,39,0,0,397,317,0,0,39,55,229,99,92,24,29,9,43,3402,5600,9002,0.377916019,1.646090535
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000003.spe,318,0.6,0.6,6.87,1,0.018546,-0.012284,0.010318,0.119708,4924,1.91,0,0,26,0,0,0,486,255,2440,0,1351,157,0,4538,0,0,80,106,12,0,0,0,48,380,108,137,250,0,80,70,0,0,342,121,0,0,0,69,13,105,0,28,0,27,0,770,68,31,0,0,121,404,0,0,42,28,212,35,0,14,47,0,27,3944,4934,8878,0.444244199,1.251014199
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000004.spe,320,0.8,0.8,6.87,1,0.018549,-0.012284,0.010339,0.119708,5647,1.64,0,0,42,0,15,0,550,353,2747,0,1598,139,0,5533,0,0,30,165,0,0,78,108,65,424,29,17,127,0,153,40,0,6,505,80,0,67,0,90,37,158,17,0,58,0,10,840,121,17,0,0,207,580,11,0,84,17,195,119,68,96,18,0,69,4580,6329,10909,0.419836832,1.381877729
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000005.spe,322,1,1,6.88,1,0.018546,-0.012284,0.010277,0.119708,5771,1.38,0,0,53,0,0,0,528,448,3326,54,1633,72,668,6197,45,7,36,11,0,17,0,34,0,335,7,143,160,0,239,81,0,70,677,0,0,127,0,0,22,143,87,27,11,0,44,379,34,0,10,6,0,58,0,0,180,48,106,75,87,55,36,38,43,3737,6119,9856,0.379159903,1.637409687
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000006.spe,324,1.2,1.2,6.89,1,0.018547,-0.012284,0.010277,0.119708,5977,1.35,5,0,44,0,0,0,543,437,3112,30,1846,41,174,6015,15,0,96,91,0,5,50,0,42,452,8,124,231,0,80,69,56,79,567,59,15,143,23,95,72,176,35,40,57,0,17,755,50,37,0,0,229,335,0,89,47,49,130,137,96,122,16,0,74,4068,6288,10356,0.392815759,1.545722714
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000007.spe,326,1.4,1.4,6.87,1,0.018546,-0.012284,0.010246,0.119708,5389,1.42,17,0,34,0,14,0,559,400,3196,44,1631,102,0,5097,0,32,60,0,34,0,0,127,18,464,72,173,250,0,61,80,15,71,381,135,0,0,0,84,0,116,41,64,0,16,43,764,78,0,0,0,193,505,0,0,29,67,285,128,52,56,6,31,60,3738,5299,9037,0.413632843,1.417602996
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000008.spe,328,1.6,1.6,6.85,1,0.018548,-0.012284,0.010282,0.119708,5651,1.49,0,0,87,0,0,0,522,501,4211,63,1746,196,0,5792,0,25,97,109,39,15,0,190,36,473,103,126,279,0,282,132,0,0,301,106,0,55,17,96,0,82,0,38,43,60,31,812,37,63,5,12,0,405,0,0,37,38,219,104,49,0,28,0,41,3821,5622,9443,0.404638356,1.47134258
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000009.spe,330,1.8,1.8,6.8,1,0.018551,-0.012284,0.01032,0.119708,6672,1.32,0,6,119,0,0,0,426,751,5245,22,3092,211,89,8065,17,16,63,19,70,13,23,54,90,551,75,94,197,0,0,86,107,28,433,124,0,63,0,73,73,182,55,33,37,23,82,770,98,0,0,0,106,361,14,0,151,59,222,116,57,21,19,34,105,3738,6767,10505,0.355830557,1.810326378
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000010.spe,332,2,2,6.77,1,0.018552,-0.012284,0.010333,0.119708,6866,1.53,0,0,122,0,0,0,426,784,5602,24,2609,123,0,8140,0,0,36,113,11,0,0,10,60,483,18,110,228,0,41,94,31,72,531,127,0,145,0,101,149,251,124,0,12,0,29,1129,151,0,0,0,277,632,12,44,181,64,123,110,115,11,9,0,33,3914,7060,10974,0.356661199,1.803781298
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000011.spe,334,2.2,2.2,6.76,1,0.01855,-0.012284,0.010471,0.119708,7168,1.48,0,0,191,0,20,0,430,737,5652,0,2490,67,0,7637,47,0,35,31,0,0,0,73,26,477,51,56,218,0,69,90,48,99,451,137,42,0,0,68,64,231,53,17,33,0,37,1134,92,5,10,0,173,705,0,0,119,20,284,115,44,0,0,20,52,4738,7215,11953,0.396385845,1.522794428
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000012.spe,336,2.4,2.4,6.74,1,0.018552,-0.012284,0.010489,0.119708,6477,1.79,7,0,115,0,11,0,528,717,4766,41,2386,83,0,6585,0,0,56,48,0,0,0,73,113,456,60,184,217,0,146,69,14,88,468,93,0,85,0,120,0,230,70,81,19,5,0,1072,139,0,0,0,434,599,15,0,110,0,276,105,71,65,27,0,0,3632,6415,10047,0.361500946,1.766244493
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000013.spe,338,2.6,2.6,6.72,1,0.018547,-0.012284,0.010489,0.119708,6430,1.29,14,0,145,0,17,0,484,550,4388,0,2313,216,0,5732,17,0,38,49,78,0,29,37,0,557,45,119,208,0,87,64,0,0,606,79,0,246,0,95,14,213,83,118,0,0,10,854,86,28,0,0,241,585,0,9,145,111,159,103,60,0,49,6,58,3503,7081,10584,0.330971277,2.02141022
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000014.spe,340,2.8,2.8,6.69,1,0.018547,-0.012284,0.010489,0.119708,6615,1.29,0,0,124,0,0,0,448,650,4786,5,2235,119,185,6269,0,55,76,58,0,26,0,0,71,417,0,82,248,0,264,104,0,16,418,109,0,60,18,111,109,128,12,0,51,17,0,929,61,0,25,0,0,322,19,43,95,9,197,106,55,8,5,0,44,4371,7084,11455,0.381580096,1.620681766
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000015.spe,342,3,3,6.68,1,0.018549,-0.012284,0.010502,0.119708,6351,1.61,0,0,126,0,19,0,441,610,4639,0,2437,92,0,6322,79,0,77,4,0,0,0,48,41,483,77,45,225,0,0,61,115,123,204,233,43,39,0,22,0,301,37,126,55,48,50,1329,112,126,0,0,466,819,0,0,172,137,379,101,26,15,26,18,34,4423,6120,10543,0.419520061,1.383676238
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000016.spe,344,3.2,3.2,6.63,1,0.018546,-0.012284,0.010464,0.119708,6647,1.5,0,0,145,0,32,0,340,565,4877,27,2317,191,0,6394,13,0,44,30,0,0,0,7,62,462,78,202,276,0,241,96,0,0,433,164,0,167,0,81,48,250,48,34,16,22,50,1050,90,36,0,0,280,774,15,64,153,90,177,138,53,66,0,14,41,4149,5906,10055,0.412630532,1.423475536
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000017.spe,346,3.4,3.4,6.66,1,0.018544,-0.012284,0.010426,0.119708,7685,1.33,0,0,166,0,17,0,381,769,6020,0,2753,208,0,7582,41,104,134,43,69,0,0,0,87,545,30,76,210,0,279,89,0,64,486,250,0,319,131,135,18,168,12,98,15,0,17,1271,79,145,27,0,8,1537,9,99,188,143,252,155,65,0,119,38,83,5514,7260,12774,0.431658055,1.316648531
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000018.spe,348,3.6,3.6,6.69,1,0.018542,-0.012284,0.010414,0.119708,7308,1.54,0,0,180,0,33,0,429,736,5943,50,2709,124,152,7479,0,20,80,0,0,0,6,16,56,402,19,137,183,0,272,120,0,98,639,127,0,231,0,103,0,163,0,67,37,0,11,936,84,82,29,0,91,660,0,33,135,108,268,65,73,91,45,53,43,4960,7294,12254,0.404765791,1.470564516
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000019.spe,350,3.8,3.8,6.68,1,0.018551,-0.012284,0.010414,0.119708,6912,1.18,17,0,192,0,34,0,412,802,6080,18,2969,224,559,7653,36,10,72,60,0,28,23,69,26,349,0,133,235,0,224,93,0,0,464,154,49,89,9,40,47,181,61,61,28,0,44,816,71,20,33,0,0,128,0,0,102,78,215,112,72,81,24,0,49,4307,7186,11493,0.374749848,1.668446715
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000020.spe,352,4,4,6.69,1,0.018546,-0.012284,0.010368,0.119708,6751,1.58,0,0,139,0,22,0,394,631,5000,79,2605,129,65,7010,0,0,60,0,0,0,26,88,21,416,96,127,202,0,9,101,62,50,387,150,0,44,0,129,38,195,14,7,17,7,45,967,77,0,6,0,275,577,0,0,51,0,250,79,91,106,0,120,36,4803,6846,11649,0.41231007,1.425359151
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000021.spe,354,4.2,4.2,6.69,1,0.018542,-0.012284,0.010335,0.119708,6844,1.24,0,0,113,0,9,0,420,735,5673,30,2555,96,0,7171,39,58,48,0,41,62,72,23,36,463,26,125,163,0,252,120,0,64,514,117,0,94,0,19,94,173,100,28,54,5,77,1141,69,0,70,36,40,848,0,47,175,110,97,139,98,9,17,187,13,4977,6602,11579,0.429829864,1.326501909
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000022.spe,356,4.4,4.4,6.71,1,0.018543,-0.012284,0.010335,0.119708,6361,1.21,9,0,145,0,30,0,501,680,4906,58,2312,177,0,6480,0,27,80,23,63,37,0,114,5,513,37,121,189,0,180,80,0,16,411,210,0,88,0,141,48,183,43,45,55,0,11,1024,135,48,40,22,335,651,11,0,83,21,334,157,82,0,0,28,63,4068,6670,10738,0.378841497,1.639626352
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000023.spe,358,4.6,4.6,6.69,1,0.018538,-0.012284,0.010335,0.119708,5956,2.07,0,0,145,0,12,0,508,614,4814,42,2334,43,0,6947,0,0,34,118,0,0,0,54,53,473,0,67,228,0,260,87,0,125,439,24,0,76,0,83,64,145,72,33,55,0,8,1001,83,0,0,0,0,634,0,0,71,21,115,74,49,70,25,0,35,4145,5331,9476,0.437420853,1.286127865
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000024.spe,360,4.8,4.8,6.67,1,0.018535,-0.012284,0.010275,0.119708,5540,1.74,0,0,124,0,0,0,464,595,5052,0,2311,151,466,6527,11,42,64,20,0,0,0,26,30,483,38,172,147,0,249,30,0,9,427,75,41,75,59,74,0,57,0,24,0,0,13,508,19,117,0,0,0,67,0,0,41,6,291,51,16,0,32,0,0,3529,5400,8929,0.395229029,1.530178521
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000025.spe,362,5,5,6.62,1,0.018533,-0.012284,0.010296,0.119708,6756,1.85,6,0,207,0,31,0,458,879,7544,89,2850,277,0,9919,23,0,56,127,0,0,0,0,42,466,35,125,133,0,475,136,0,0,350,210,0,99,0,22,0,184,74,70,5,13,30,1010,93,25,0,0,38,626,0,24,230,99,310,96,66,32,21,0,74,4757,6098,10855,0.43823123,1.281900357
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000026.spe,364,5.2,5.2,6.65,1,0.018531,-0.012284,0.010328,0.119708,5850,1.72,7,0,205,0,12,0,461,731,6352,0,2858,105,238,8096,0,29,87,20,0,0,0,63,27,449,75,166,137,0,257,92,0,0,229,183,0,67,67,95,0,58,0,82,26,46,31,836,40,100,0,0,0,191,0,0,96,13,441,46,48,40,60,16,0,3526,5352,8878,0.397161523,1.517867272
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000027.spe,366,5.4,5.4,6.66,1,0.018538,-0.012284,0.010328,0.119708,5872,1.53,0,0,106,0,19,0,470,633,5741,57,2703,209,375,7851,103,0,40,104,38,0,0,0,63,478,20,121,152,0,141,110,0,14,496,98,75,73,38,0,49,158,75,101,0,8,0,684,64,14,0,23,0,130,0,10,144,112,236,96,25,0,40,0,86,3560,5929,9489,0.375171251,1.665449438
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000028.spe,368,5.6,5.6,6.65,1,0.018545,-0.012284,0.010265,0.119708,6076,1.19,0,0,140,0,0,0,431,673,5957,40,2994,182,151,8089,57,36,76,62,19,38,0,51,20,456,39,76,71,0,176,86,0,29,467,129,8,89,65,47,0,152,26,75,0,66,31,807,39,61,0,0,14,444,0,0,173,109,303,137,76,43,38,11,21,3405,6769,10174,0.334676627,1.987958884
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000029.spe,370,5.8,5.8,6.66,1,0.018542,-0.012284,0.01029,0.119708,6824,1.52,0,0,184,0,0,0,375,910,8012,60,4178,135,96,9972,74,50,50,101,0,0,0,0,91,515,38,77,171,0,302,76,0,68,426,114,15,30,91,16,0,94,38,80,37,0,0,803,54,18,0,0,0,256,11,54,114,111,385,90,67,88,0,0,49,3835,7816,11651,0.329156296,2.038070404
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000030.spe,372,6,6,6.68,1,0.018543,-0.012284,0.010323,0.119708,7684,1.59,0,0,256,0,0,0,376,1142,10418,69,5362,240,0,12351,0,0,49,0,12,0,5,0,0,490,64,167,79,0,444,198,0,19,239,212,9,0,0,146,28,241,29,59,5,0,0,961,143,26,0,28,358,514,0,66,55,21,551,112,106,5,0,101,0,4028,7506,11534,0.349228368,1.863455809
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000031.spe,374,6.2,6.2,6.72,1,0.018543,-0.012284,0.010291,0.119708,7740,1.61,0,8,270,0,0,0,361,1273,10088,74,5125,142,245,12066,0,0,76,67,0,0,0,0,95,517,31,75,123,0,331,74,0,168,633,8,0,158,0,151,0,172,0,36,56,22,12,560,93,54,0,6,118,470,0,0,89,98,382,72,28,0,43,0,18,3423,7882,11305,0.302786378,2.302658487
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000032.spe,376,6.4,6.4,6.75,1,0.018542,-0.012284,0.010274,0.119708,7260,1.71,0,0,246,0,0,0,383,1160,9122,55,4895,142,0,11409,129,0,84,111,15,0,0,8,68,474,51,137,97,0,153,110,0,78,290,134,6,187,169,0,86,137,21,70,21,15,0,929,0,28,0,0,0,527,11,0,220,150,270,76,15,10,50,0,38,3655,7125,10780,0.339053803,1.949384405
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000033.spe,378,6.6,6.6,6.76,1,0.01854,-0.012284,0.010323,0.119708,7102,1.43,0,0,275,0,0,0,367,1208,9359,110,4697,173,344,11622,0,16,66,24,0,17,0,0,21,477,44,192,101,0,246,101,0,21,320,176,0,50,98,80,20,107,0,38,0,61,45,551,54,53,0,0,0,327,0,29,118,101,319,99,115,70,31,31,0,3894,6877,10771,0.361526321,1.766050334
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000034.spe,380,6.8,6.8,6.76,1,0.018539,-0.012284,0.010339,0.119708,7384,1.55,0,0,273,0,12,0,391,1255,9457,34,5250,184,0,12870,12,29,42,39,28,18,42,0,0,407,57,144,91,0,121,86,28,89,301,166,0,136,51,119,84,164,57,72,24,0,58,834,95,0,8,22,0,610,0,0,186,81,343,114,45,0,50,0,65,3653,7571,11224,0.325463293,2.072543115
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000035.spe,382,7,7,6.79,1,0.018538,-0.012284,0.01036,0.119708,6673,1.74,6,6,202,0,0,0,321,1026,8654,29,4281,305,0,11111,36,50,47,147,36,10,0,0,65,433,21,171,73,0,374,146,0,0,235,240,0,158,57,109,66,178,122,97,0,39,0,930,103,11,0,0,0,571,37,36,203,113,333,177,70,22,39,0,66,3635,6720,10355,0.351038146,1.84869326
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000036.spe,384,7.2,7.2,6.82,1,0.018545,-0.012284,0.010453,0.119708,8037,1.41,0,0,274,0,0,0,369,1328,10720,14,5547,225,357,14059,19,0,53,106,27,0,4,0,41,543,80,134,84,0,319,146,0,49,425,120,7,119,0,48,69,226,73,65,53,48,57,659,101,0,0,15,22,33,0,9,181,87,390,117,98,24,0,0,37,3113,8616,11729,0.265410521,2.767748153
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000037.spe,386,7.4,7.4,6.87,1,0.018547,-0.012284,0.01069,0.119708,7856,1.3,0,10,313,0,0,0,362,1295,10374,64,5728,36,0,13811,23,18,74,0,0,0,7,0,49,458,90,132,105,0,29,98,135,170,329,161,0,111,53,111,73,197,81,62,22,17,6,933,110,34,6,0,273,445,0,0,194,88,424,163,62,49,40,72,75,3136,8600,11736,0.267211997,2.742346939
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000038.spe,388,7.6,7.6,6.88,1,0.018541,-0.012284,0.010717,0.119708,7527,2.08,0,0,307,0,0,0,357,1233,10096,133,5127,181,298,13181,0,0,0,17,11,9,22,5,74,432,46,93,100,0,584,152,0,8,320,103,0,0,0,111,5,123,45,17,36,0,11,616,95,0,0,0,0,342,0,13,81,0,464,70,54,10,0,4,67,3706,7266,10972,0.337768866,1.960604425
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000039.spe,390,7.8,7.8,6.91,1,0.018538,-0.012284,0.010762,0.119708,7424,1.68,0,0,318,0,0,0,395,1264,10107,77,5137,65,197,12932,0,22,73,60,5,0,0,0,67,459,45,111,116,0,443,84,0,58,386,101,0,174,0,120,0,136,6,77,55,0,15,748,87,98,0,0,0,203,0,23,156,33,495,117,71,35,37,0,42,3317,7221,10538,0.31476561,2.176967139
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000040.spe,392,8,8,6.94,1,0.018536,-0.012284,0.010762,0.119708,8442,1.84,0,17,453,0,10,0,416,1497,12078,80,5907,214,719,14860,0,0,7,18,0,0,10,32,21,569,52,190,172,0,359,71,0,18,559,62,0,45,0,71,52,219,85,17,0,0,6,388,113,0,0,0,0,32,0,0,251,23,463,86,84,60,0,13,19,2773,8646,11419,0.242840879,3.117922827
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000041.spe,394,8.2,8.2,6.97,1,0.018536,-0.012284,0.010762,0.119708,7147,1.61,0,0,262,0,0,0,412,1212,9675,73,4914,239,356,12624,15,19,55,88,0,0,13,0,61,488,53,198,60,0,220,139,0,0,399,62,0,97,71,101,22,113,32,38,15,0,16,611,48,23,19,0,0,143,0,77,163,24,373,109,78,33,28,0,0,3046,7085,10131,0.300661336,2.326001313
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000042.spe,396,8.4,8.4,6.98,1,0.018534,-0.012284,0.010762,0.119708,7804,2.3,0,0,338,0,5,0,423,1430,10674,35,5107,382,29,14153,105,0,36,63,0,0,0,25,0,506,42,208,107,0,764,124,0,0,448,198,0,171,0,0,38,226,120,93,0,15,26,821,106,12,0,0,0,728,0,0,283,194,374,122,63,106,0,18,51,4230,7145,11375,0.371868132,1.689125296
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000043.spe,398,8.6,8.6,7.01,1,0.018532,-0.012284,0.010773,0.119708,7662,2.86,8,14,377,0,0,0,403,1401,10320,42,5140,347,0,13801,0,0,40,0,36,0,0,0,71,417,103,193,78,0,621,136,0,0,360,55,0,245,0,140,53,202,0,0,38,36,28,868,73,19,0,0,0,744,0,13,163,91,221,70,43,0,0,59,24,3677,7480,11157,0.329568881,2.034267066
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000044.spe,400,8.8,8.8,7.04,1,0.018546,-0.012284,0.010773,0.119708,7876,1.43,0,11,349,0,0,0,389,1457,10656,141,5713,290,428,14327,47,45,83,126,0,7,0,0,21,515,62,170,116,0,144,186,0,0,307,262,51,0,107,67,41,161,78,118,43,0,36,673,125,32,0,0,0,195,0,0,236,61,621,159,27,57,46,0,65,3140,8234,11374,0.276068226,2.622292994
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000045.spe,402,9,9,7.07,1,0.018544,-0.012284,0.010787,0.119708,7744,1.74,5,12,391,0,0,0,458,1451,10605,186,5610,110,328,14368,119,0,61,109,0,9,0,0,121,443,0,248,45,0,184,87,35,157,280,135,0,0,108,0,82,157,0,18,19,40,28,604,13,43,0,0,0,453,0,24,325,120,340,100,22,36,0,0,18,3300,7385,10685,0.308844174,2.237878788
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000046.spe,404,9.2,9.2,7.09,1,0.018542,-0.012284,0.010856,0.119708,7634,1.59,4,5,374,0,17,0,384,1498,10340,84,5843,0,0,13897,45,34,11,15,6,4,0,0,55,388,71,142,82,0,101,88,92,191,257,43,0,68,32,28,102,146,58,0,64,0,0,977,53,0,13,0,0,704,0,0,307,77,347,112,33,0,0,25,35,3043,7697,10740,0.283333333,2.529411765
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000047.spe,406,9.4,9.4,7.11,1,0.018546,-0.012284,0.010919,0.119708,8008,1.39,16,5,410,0,0,0,446,1668,10723,157,5736,189,537,15282,108,0,36,45,0,21,0,0,70,456,50,135,89,0,218,147,0,74,592,102,50,103,0,0,0,305,90,104,47,10,0,444,78,43,0,0,0,90,0,0,255,142,376,100,82,42,0,6,14,2624,8348,10972,0.239154211,3.181402439
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000048.spe,408,9.6,9.6,7.13,1,0.018546,-0.012284,0.010919,0.119708,7854,1.31,0,7,352,0,4,0,429,1452,10671,125,6267,66,326,13983,76,0,46,150,30,0,0,0,97,457,41,120,92,0,0,51,206,170,379,100,0,118,0,31,0,272,57,76,42,60,0,626,78,60,0,0,245,213,9,44,206,100,537,95,10,7,0,0,94,2603,8240,10843,0.240062713,3.165578179
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000049.spe,410,9.8,9.8,7.14,1,0.018548,-0.012284,0.010933,0.119708,7841,1.46,5,0,397,0,5,0,397,1569,11048,134,6125,17,526,14276,0,0,67,118,0,0,11,0,78,467,125,107,158,0,73,120,136,112,423,125,0,13,0,95,0,137,11,75,89,23,33,355,89,51,0,0,184,131,42,57,147,57,576,51,73,60,49,0,40,2206,8412,10618,0.207760407,3.813236627
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000050.spe,412,10,10,7.15,1,0.018551,-0.012284,0.010954,0.119708,7904,2.71,0,0,340,0,0,0,348,1377,10875,112,6304,132,0,14196,26,0,45,0,0,0,13,0,96,413,15,144,106,0,0,93,184,11,130,124,0,0,0,42,0,358,41,99,11,34,4,1240,134,67,0,0,609,892,6,44,235,101,601,85,62,38,0,33,0,3069,8324,11393,0.269375933,2.712284132
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000051.spe,414,10.2,10.2,7.17,1,0.018541,-0.012284,0.010914,0.119708,7664,1.22,0,19,359,0,9,0,504,1601,9733,77,5334,256,399,14386,84,47,104,89,37,0,11,13,42,500,111,166,64,0,87,72,0,105,423,242,117,76,189,114,62,180,69,99,39,70,67,768,79,50,0,40,0,0,0,0,196,96,480,149,40,0,56,0,12,3099,8387,11486,0.269806721,2.706356889
Data/SSI/Potter Cove/L15-H2 XRF/XRF data/L000052.spe,416,10.4,10.4,7.18,1,0.018544,-0.012284,0.010832,0.119708,7788,1.39,0,7,375,0,0,0,446,1622,9797,85,5515,79,658,14476,70,27,122,75,0,0,18,0,0,445,153,235,131,0,91,53,131,112,641,10,0,135,117,100,0,130,0,72,0,38,85,410,17,96,0,13,0,0,0,27,260,66,569,67,40,32,45,0,49,2405,8606,11011,0.218417946,3.578378378
