LabID,CRA,Error,calCurves,resOffsets,resErrors,Material,Species,SiteName,Country,Longitude,Latitude,Region,Location,ID,MedianBP,TwoSigma_BP_1_max,TwoSigma_BP_1_min,TwoSigma_BP_2_max,TwoSigma_BP_2_min,TwoSigma_BP_3_max,TwoSigma_BP_3_min,TwoSigma_BP_4_max,TwoSigma_BP_4_min,TwoSigma_BP_max,TwoSigma_BP_min,TwoSigma_BP_upper,TwoSigma_BP_lower,plot_y
SUERC18932,2215,37,shcal20,0,0,Aquatic moss,Moss,Gaoshan Lake,South Shetland Islands,-58.9647,-62.2208,King George Island ,Fildes Peninsula ,Gaoshan Lake,2195,2327,2193,2182,2079,2073,2056,NA,NA,2327,2056,132,139,-0.8
SUERC18928,320,35,shcal20,0,0,Aquatic moss,Moss,Belen Lake,South Shetland Islands,-58.982,-62.2285,King George Island ,Fildes Peninsula ,Belén Lake,378,451,349,340,282,164,157,NA,NA,451,157,73,221,-0.8
SUERC18931,4829,38,shcal20,0,0,Aquatic moss,Moss,Belen Lake,South Shetland Islands,-58.982,-62.2285,King George Island ,Fildes Peninsula ,Belén Lake,5521,5597,5460,5376,5355,5348,5332,NA,NA,5597,5332,76,189,-0.8
SUERC18933,2087,37,shcal20,0,0,Aquatic moss,Moss,Long Lake,South Shetland Islands,-58.9671,-62.205,King George Island ,Fildes Peninsula ,Long Lake,2008,2100,1921,1906,1895,NA,NA,NA,NA,2100,1895,92,113,-0.8
SUERC22325,-7,1,normal,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,-7,-6,-8,NA,NA,NA,NA,NA,NA,-6,-8,1,1,-0.8
SUERC18934,907,37,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,767,902,864,841,830,816,715,708,680,902,680,135,87,-0.8
Beta316286,1430,30,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,1297,1351,1329,1318,1269,1202,1182,NA,NA,1351,1182,54,115,-0.8
Beta316287,3370,30,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,3548,3684,3666,3639,3482,3470,3458,NA,NA,3684,3458,136,90,-0.8
Beta316288,4170,30,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,4678,4822,4745,4734,4529,NA,NA,NA,NA,4822,4529,144,149,-0.8
SUERC18935,4273,37,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,4753,4869,4789,4765,4617,4594,4587,NA,NA,4869,4587,116,166,-0.8
SUERC22310,4847,37,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,5525,5646,5639,5602,5464,5372,5361,5342,5334,5646,5334,121,191,-0.8
SUERC22311,5051,38,shcal20,0,0,Aquatic moss,Moss,Yanou Lake,South Shetland Islands,-58.9599,-62.2207,King George Island ,Fildes Peninsula ,Yanou Lake,5753,5897,5653,5624,5607,NA,NA,NA,NA,5897,5607,144,146,-0.8