id,ages,ageSds,position,thickness,calCurves,SiteName,altitude
Beta-441402,7860,40,1.5,1,marine20666,PC-Pingfo-II,3
Beta-441403,7890,40,1.55,1,marine20666,PC-Pingfo-II,2.95
ETH-67269,8010,85,1.6,1,marine20666,PC-Pingfo-II,2.9
ETH-67267,7805,85,1.7,1,marine20666,PC-Pingfo-II,2.8
Beta - 431964,7780,30,1.85,1,marine20666,PC-Pingfo-II,2.65
ETH-67270,8170,85,2.05,1,marine20666,PC-Pingfo-II,2.45
ETH-67272,8115,80,2.1,1,marine20666,PC-Pingfo-II,2.4
ETH-71994,7920,20,2.56,1,marine20666,PC-Pingfo-II,1.94
ETH-67268,7705,80,2.7,1,marine20666,PC-Pingfo-II,1.8
ETH-67273,8005,85,2.95,1,marine20666,PC-Pingfo-II,1.55
ETH-67275,7950,70,3.05,1,marine20666,PC-Pingfo-II,1.45
ETH-67274,8020,90,3.05,1,marine20666,PC-Pingfo-II,1.45
ETH-67276,8145,70,3.1,1,marine20666,PC-Pingfo-II,1.4
ETH-72000,8015,20,3.11,1,marine20666,PC-Pingfo-II,1.39
ETH-67277,8300,75,3.3,1,marine20666,PC-Pingfo-II,1.2
ETH-71996,8005,20,3.41,1,marine20666,PC-Pingfo-II,1.09
ETH-71997,7995,20,3.46,1,marine20666,PC-Pingfo-II,1.04
Beta - 441404,8100,40,3.5,1,marine20666,PC-Pingfo-II,1
ETH-67278,8090,75,3.5,1,marine20666,PC-Pingfo-II,1
ETH-72001,7995,65,4,1,marine20666,PC-Pingfo-II,0.5
ETH-71995,8195,25,4.47,1,marine20666,PC-Pingfo-II,0.03
SUERC-14413,7831,39,2.79,1,marine20666,PC-RiverSection,1.71
SUERC-14414,7883,39,2.79,1,marine20666,PC-RiverSection,1.71
SUERC-14416,7853,38,2.79,1,marine20666,PC-RiverSection,1.71
SUERC-14417,7842,37,2.79,1,marine20666,PC-RiverSection,1.71
Beta-441400,1880,30,2.2,1,shcal20,PC-InlandMoraine,97.8
Beta-441401,1850,30,2.2,1,shcal20,PC-InlandMoraine,97.8
Birm-23,7683,86,4,1,marine20666,PC-SJ-1973,0.5
Birm-48a,9670,230,3.5,1,marine20666,PC-SJ-1973,1