filename,position_mm,section_depth_mm,strat_depth_cm,sample_surface,validity,E_gain,E_offset,F_slope,F_offset,kcps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Mo,Cs,Ba,La,Ce,Pr,Nd,Sm,Gd,Tb,Dy,Ho,Er,Tm,Lu,Hf,Ac,Th,U,S1,D1,D2,D3,D4,D6,S2,Cra_&_Cra,Cra_&_Fea,Fex1,Fex2,Fex3,W_La_el,W_Lb1_el,W_Lb2_el,W_La_inel,W_Lb1_inel,W_Lb2_inel,Cr_inc,Cr_coh,inc&coh,inc_coh,coh_inc
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000000.spe,340,0,0,6.29,1,0.018549,-0.012284,0.010389,0.119708,6046,1.23,12,0,122,0,24,5,415,463,3874,0,1619,136,137,5003,49,0,27,51,0,16,0,60,8,406,21,47,262,0,168,82,0,66,404,156,55,49,26,47,78,162,110,90,32,80,0,938,70,0,0,0,0,366,0,0,114,55,166,88,48,34,40,24,61,4355,6226,10581,0.411586807,1.429621125
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000001.spe,342,2,0.2,6.3,1,0.018548,-0.012284,0.01042,0.119708,7528,1.28,18,0,153,0,26,0,381,637,5036,43,2402,143,404,7261,0,43,46,100,11,0,22,39,147,399,27,91,238,0,77,69,57,71,701,141,0,33,0,114,71,204,102,25,8,22,0,972,123,0,0,12,13,449,6,67,92,95,199,157,78,36,45,0,79,5529,8213,13742,0.402343181,1.485440405
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000002.spe,344,4,0.4,6.34,1,0.01855,-0.012284,0.010436,0.119708,6938,1.5,0,0,89,0,11,0,370,521,4371,0,2162,127,0,6043,106,61,111,81,0,0,0,65,64,391,102,161,153,0,0,63,93,119,530,165,45,90,107,42,42,146,0,57,0,67,0,1156,39,116,0,0,13,553,0,0,143,120,188,87,89,64,54,0,61,4791,7752,12543,0.381966037,1.618033813
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000003.spe,346,6,0.6,6.35,1,0.018552,-0.012284,0.010587,0.119708,7494,1.45,0,9,120,0,14,0,427,577,4952,31,2372,70,0,6801,53,15,79,28,0,0,0,8,86,441,43,153,187,0,174,191,0,97,519,143,0,153,0,78,0,235,46,79,27,11,13,1309,81,54,0,0,152,849,0,0,170,120,218,78,50,20,36,0,49,5131,8256,13387,0.383282289,1.609043072
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000004.spe,348,8,0.8,6.37,1,0.018552,-0.012284,0.010536,0.119708,7872,1.44,0,0,123,8,33,0,440,647,5396,9,2496,23,1415,7801,89,0,114,71,0,13,0,36,44,439,56,82,178,0,158,92,34,187,845,75,108,35,0,56,0,238,53,125,30,7,39,437,67,81,0,0,0,0,0,26,88,71,407,137,90,73,50,0,0,4781,8805,13586,0.351906374,1.841664924
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000005.spe,350,10,1,6.36,1,0.018555,-0.012284,0.010582,0.119708,6796,1.31,0,6,111,0,15,0,513,527,4849,29,2211,5,427,5870,23,0,111,44,0,0,0,22,0,462,0,93,176,0,0,99,137,171,589,106,0,88,0,60,0,144,0,53,10,24,0,762,80,84,0,0,180,300,5,0,117,79,212,89,76,0,34,0,45,3819,6988,10807,0.353382067,1.829798377
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000006.spe,352,12,1.2,6.34,1,0.018553,-0.012284,0.01063,0.119708,6332,1.41,0,0,82,0,8,0,485,439,3758,70,1639,91,0,5331,0,0,40,51,0,0,35,5,54,287,72,23,245,0,38,84,79,68,545,58,0,0,0,71,0,146,0,29,14,0,0,811,78,59,0,0,139,468,0,32,61,11,266,60,38,37,30,0,29,3579,6679,10258,0.348898421,1.866163733
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000007.spe,354,14,1.4,6.33,1,0.018555,-0.012284,0.010644,0.119708,6234,1.76,0,9,91,0,42,5,497,500,3508,24,1768,91,0,4997,7,0,119,70,0,20,28,115,79,299,86,112,339,0,70,74,29,77,436,121,0,28,0,89,0,282,0,139,10,40,0,1043,140,152,0,0,502,650,0,0,65,79,363,81,110,82,13,0,0,4048,6280,10328,0.391944229,1.551383399
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000008.spe,356,16,1.6,6.36,1,0.018549,-0.012284,0.010687,0.119708,7376,1.24,5,0,61,0,47,0,393,512,4155,0,1965,128,222,5861,153,71,144,100,0,0,0,104,32,400,23,187,272,0,106,129,80,142,776,176,100,76,146,22,0,178,58,163,17,9,0,1239,94,116,0,13,39,518,0,0,175,159,355,170,72,75,85,0,21,5088,8554,13642,0.372965841,1.681210692
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000009.spe,358,18,1.8,6.38,1,0.01855,-0.012284,0.010711,0.119708,7706,1.27,0,0,79,0,26,0,336,514,4422,39,2249,80,463,6439,67,32,85,125,26,0,0,0,13,369,0,145,377,0,87,105,105,52,560,242,81,0,10,53,13,214,89,107,0,13,24,1138,111,27,0,0,0,94,0,165,137,97,424,158,110,30,31,0,0,5051,8674,13725,0.368014572,1.717283706
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000010.spe,360,20,2,6.39,1,0.018548,-0.012284,0.010711,0.119708,6947,1.38,12,5,126,0,24,0,351,625,4601,63,2243,215,394,6183,0,32,147,43,12,0,0,74,70,405,98,199,256,0,71,132,32,13,606,144,0,53,7,224,65,184,0,47,0,0,0,951,106,64,0,23,0,263,0,0,41,7,241,152,45,0,68,0,61,4388,7542,11930,0.367812238,1.718778487
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000011.spe,362,22,2.2,6.4,1,0.018547,-0.012284,0.010746,0.119708,7494,1.32,0,0,113,0,24,0,344,598,5373,26,2663,122,238,7154,90,67,175,0,19,0,0,62,102,549,60,43,322,0,52,120,69,70,691,125,0,56,72,10,0,137,0,108,16,53,41,1086,59,116,23,10,0,340,40,13,227,102,386,139,90,12,51,139,39,4764,9155,13919,0.342265967,1.92170445
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000012.spe,364,24,2.4,6.44,1,0.018543,-0.012284,0.010791,0.119708,7596,1.62,18,5,111,0,19,0,366,642,5230,0,2502,251,0,7740,0,0,22,13,71,0,0,151,0,472,39,64,254,0,110,76,0,33,641,143,0,30,0,90,9,239,120,71,46,18,43,1271,211,27,0,0,56,1058,54,0,167,112,299,169,88,0,6,10,88,5116,8551,13667,0.374332333,1.671422987
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000013.spe,366,26,2.6,6.48,1,0.018544,-0.012284,0.01081,0.119708,7097,1.71,0,0,51,0,27,5,380,451,3651,0,1998,81,614,5481,156,83,101,78,29,0,0,58,0,494,131,42,260,0,0,57,203,128,793,124,110,180,100,36,54,171,39,133,46,0,0,978,57,81,0,0,0,292,0,0,197,131,233,155,25,0,24,0,19,4903,7413,12316,0.398100032,1.511931471
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000014.spe,368,28,2.8,6.5,1,0.018543,-0.012284,0.010778,0.119708,8014,1.92,0,0,81,0,24,0,326,443,3679,0,1527,286,0,5942,110,125,106,135,66,0,0,0,109,364,0,165,286,0,482,89,0,15,888,120,0,378,128,54,70,103,60,74,0,0,0,1465,33,85,0,0,0,863,29,54,271,197,61,188,108,0,115,0,95,7529,8264,15793,0.476730197,1.097622526
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000015.spe,370,30,3,6.53,1,0.018548,-0.012284,0.01072,0.119708,6966,1.38,0,0,22,0,30,0,400,352,2983,47,1660,148,338,5220,0,0,62,100,66,0,0,9,64,380,27,101,228,0,185,100,0,112,808,37,28,76,0,186,17,186,22,61,0,12,0,1099,149,47,0,61,119,327,0,90,0,0,209,118,111,0,68,24,14,5616,8218,13834,0.405956339,1.463319088
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000016.spe,372,32,3.2,6.57,1,0.01855,-0.012284,0.010698,0.119708,7216,1.69,0,0,90,0,11,19,355,597,4697,24,2731,186,718,7231,0,0,79,107,0,0,16,45,38,504,135,176,215,0,58,109,32,61,697,110,37,51,0,117,0,192,40,77,0,33,14,857,124,34,0,0,0,136,28,0,76,49,369,90,38,175,75,0,0,5174,8809,13983,0.370020739,1.702551218
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000017.spe,374,34,3.4,6.58,1,0.018554,-0.012284,0.010671,0.119708,7283,3.06,0,8,96,0,36,12,413,702,5979,67,3149,218,0,8444,28,0,157,141,39,0,0,0,52,568,67,165,169,0,68,97,62,0,362,234,0,0,30,111,0,195,0,239,33,0,69,1506,110,210,0,0,191,1202,0,27,176,85,737,112,37,0,71,0,20,5400,8201,13601,0.39702963,1.518703704
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000018.spe,376,36,3.6,6.62,1,0.018543,-0.012284,0.010671,0.119708,6962,2.11,0,0,66,0,10,0,369,576,4590,19,2714,34,968,7987,0,0,12,36,0,0,0,0,111,518,7,172,202,0,63,42,73,162,793,0,0,83,0,217,0,134,0,5,20,0,23,479,114,6,0,0,0,19,4,0,23,0,306,72,80,92,38,21,7,4268,8520,12788,0.333750391,1.996251172
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000019.spe,378,38,3.8,6.62,1,0.01854,-0.012284,0.010671,0.119708,7662,1.44,0,0,108,0,27,18,424,716,6420,60,3233,108,318,9567,57,70,90,101,38,33,10,0,40,472,82,192,195,0,228,76,19,141,791,5,0,148,10,15,17,150,65,40,6,0,19,992,58,38,0,0,0,369,0,103,270,111,269,110,82,0,31,0,43,5166,8585,13751,0.375681769,1.661827333
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000020.spe,380,40,4,6.62,1,0.018534,-0.012284,0.010606,0.119708,7651,3.07,0,0,97,0,16,13,429,679,5691,111,2772,67,74,8255,0,0,51,83,0,0,0,63,66,533,53,190,195,0,304,29,0,168,709,0,0,213,0,166,0,44,0,75,0,12,7,1189,88,170,0,0,0,551,0,0,59,0,397,37,58,83,88,0,36,5855,8479,14334,0.408469374,1.448163962
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000021.spe,382,42,4.2,6.63,1,0.018531,-0.012284,0.010606,0.119708,7856,1.64,0,0,116,0,17,0,372,643,6118,0,2770,246,386,8886,55,75,96,0,0,0,0,25,105,455,32,148,270,0,381,94,0,0,708,82,0,199,90,17,53,65,16,49,8,15,20,1134,30,40,29,7,0,383,0,39,252,83,180,126,24,55,22,142,68,6213,8646,14859,0.418130426,1.391598262
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000022.spe,384,44,4.4,6.64,1,0.018529,-0.012284,0.01059,0.119708,7717,2.11,0,10,111,0,36,0,416,601,5278,13,2710,237,153,8068,0,19,86,0,36,0,0,0,61,509,114,180,146,0,255,102,0,37,722,156,0,306,0,157,152,184,66,0,22,28,64,1339,131,0,15,0,0,702,0,88,210,117,69,128,74,0,45,113,34,7081,8443,15524,0.45613244,1.192345714
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000023.spe,386,46,4.6,6.6,0,0.01854,-0.012284,0.01059,0.119708,6986,1.39,0,0,91,0,39,22,406,600,4656,55,2577,155,616,8460,110,0,44,7,0,0,0,0,52,537,84,152,288,0,111,39,44,89,527,107,24,116,14,0,0,142,38,88,0,0,0,1041,12,40,0,9,0,344,0,28,209,109,174,89,68,17,60,38,68,5972,7690,13662,0.437124872,1.28767582
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000024.spe,388,48,4.8,6.64,1,0.018537,-0.012284,0.010528,0.119708,6741,1.72,0,8,63,0,24,0,432,573,5407,51,2749,186,0,9280,0,0,64,112,40,16,0,0,63,494,32,142,158,0,241,81,0,58,834,86,0,168,0,165,0,211,40,104,11,21,7,871,173,87,0,0,0,712,0,54,160,103,372,108,69,0,60,0,82,4462,8104,12566,0.35508515,1.816225908
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000025.spe,390,50,5,6.6,1,0.018537,-0.012284,0.010528,0.119708,7194,1.58,0,0,111,0,7,10,399,704,6827,39,3141,242,84,9769,21,62,82,120,47,0,0,0,59,655,72,200,126,0,313,142,0,0,427,222,0,108,70,112,24,123,0,71,0,0,0,1134,91,48,0,6,0,594,0,34,152,83,425,131,58,0,50,0,69,5469,7801,13270,0.41213263,1.426403364
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000026.spe,392,52,5.2,6.59,1,0.018542,-0.012284,0.010449,0.119708,7585,1.45,0,0,178,0,13,7,441,948,8126,73,4201,231,0,10627,67,0,35,0,0,0,0,48,7,656,67,221,198,0,122,69,9,19,394,127,0,78,0,5,57,221,72,40,0,22,13,1012,66,36,0,0,0,825,0,0,312,119,276,83,94,105,17,55,0,4601,7648,12249,0.3756225,1.662247338
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000027.spe,394,54,5.4,6.59,1,0.018545,-0.012284,0.010484,0.119708,6224,1.31,0,0,195,0,0,0,476,648,6121,17,3021,119,0,7804,0,0,24,0,20,0,0,0,57,559,87,177,205,0,124,81,0,37,254,139,0,0,0,69,18,158,31,53,21,0,17,911,131,37,5,0,77,345,0,51,119,50,284,101,56,0,12,70,39,3603,6297,9900,0.363939394,1.747710241
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000028.spe,396,56,5.6,6.57,1,0.018546,-0.012284,0.010442,0.119708,6818,1.24,4,0,244,0,15,0,454,927,7577,115,3873,125,275,8940,0,0,76,0,8,0,0,0,22,485,51,168,213,0,0,98,170,59,440,195,16,4,0,142,79,192,90,63,21,0,0,676,124,8,0,33,107,223,0,88,135,50,324,141,87,13,71,108,20,3008,7216,10224,0.294209703,2.39893617
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000029.spe,398,58,5.8,6.55,1,0.018548,-0.012284,0.010424,0.119708,6225,1.57,0,0,204,0,0,0,433,747,7241,55,3128,15,172,8313,0,0,32,59,9,0,5,0,0,488,51,107,112,0,245,94,0,100,347,119,5,0,0,65,0,241,55,94,0,6,26,600,134,63,0,0,230,246,0,27,100,34,453,88,58,4,0,7,11,2896,6052,8948,0.323647743,2.089779006
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000030.spe,400,60,6,6.52,1,0.018547,-0.012284,0.01038,0.119708,6803,1.46,0,8,235,0,11,0,389,878,7837,68,3572,150,0,9230,48,0,95,0,13,0,21,64,63,555,32,99,112,0,299,75,0,29,405,37,0,57,0,0,0,111,10,60,23,33,20,812,0,90,0,6,0,551,7,0,184,76,381,57,56,23,28,84,0,3215,7298,10513,0.305811852,2.269984448
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000031.spe,402,62,6.2,6.53,1,0.01855,-0.012284,0.010342,0.119708,7242,1.22,0,7,311,0,0,0,347,1049,9405,59,4467,217,181,10067,0,0,96,48,0,0,0,45,21,582,26,141,65,0,61,91,31,99,339,240,49,0,0,148,40,256,49,65,0,0,30,796,126,22,0,0,155,489,0,0,80,43,449,115,85,61,21,0,0,3271,7559,10830,0.302031394,2.310914094
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000032.spe,404,64,6.4,6.59,1,0.018551,-0.012284,0.010316,0.119708,7488,1.34,7,0,262,0,14,0,401,1257,9281,108,4943,91,721,11120,58,0,43,93,7,0,0,32,12,555,71,148,79,0,50,53,74,178,495,124,0,0,0,0,38,299,84,60,0,26,27,400,125,49,0,0,49,0,13,14,234,93,380,95,83,75,0,0,18,2809,8473,11282,0.248980677,3.016375934
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000033.spe,406,66,6.6,6.62,1,0.018553,-0.012284,0.010316,0.119708,7671,1.99,0,0,366,0,16,0,359,1224,10431,198,5633,105,54,11781,0,0,9,31,24,0,0,65,40,527,14,141,123,0,34,123,88,78,238,91,0,0,0,62,0,216,0,26,4,0,0,745,19,66,0,0,141,354,0,0,127,51,453,42,5,0,0,0,20,3069,8041,11110,0.276237624,2.620071685
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000034.spe,408,68,6.8,6.63,1,0.018546,-0.012284,0.010357,0.119708,8008,1.18,0,0,356,0,24,20,358,1193,11695,169,5855,282,364,12763,42,62,127,58,0,0,0,0,62,499,12,142,179,0,225,119,0,0,244,230,0,0,73,77,78,81,39,32,0,6,38,754,76,11,19,45,0,65,10,39,171,28,446,106,63,0,93,0,42,3298,8542,11840,0.278547297,2.590054579
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000035.spe,410,70,7,6.65,1,0.018548,-0.012284,0.010374,0.119708,7885,1.37,0,0,344,0,11,0,378,1380,10836,86,5830,187,0,12722,0,0,84,27,20,0,0,0,82,489,19,165,146,0,0,104,85,74,400,126,0,5,0,144,49,201,55,26,0,9,0,779,158,13,24,7,197,582,0,40,134,45,436,139,84,26,0,65,0,2799,8269,11068,0.252891218,2.954269382
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000036.spe,412,72,7.2,6.67,1,0.018549,-0.012284,0.010374,0.119708,7869,1.89,0,13,311,0,13,25,395,1315,10600,109,5412,166,352,13025,0,0,73,0,33,0,0,0,58,516,68,100,163,0,113,108,44,115,464,48,0,0,0,211,0,209,0,55,6,0,0,568,142,46,0,9,181,193,35,20,66,28,493,74,34,22,28,18,22,2991,8545,11536,0.259275312,2.856904045
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000037.spe,414,74,7.4,6.68,1,0.018546,-0.012284,0.010406,0.119708,7983,1.66,0,0,358,0,11,0,399,1413,10136,112,5554,216,305,13469,127,24,75,95,0,0,22,0,46,491,0,228,145,0,152,102,26,84,518,146,14,115,0,0,25,256,127,115,0,0,0,733,132,42,0,0,0,240,0,11,344,196,460,143,94,165,26,6,43,2996,8956,11952,0.250669344,2.989319092
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000038.spe,416,76,7.6,6.7,1,0.018546,-0.012284,0.010406,0.119708,8237,1.48,0,0,397,0,0,0,358,1551,11249,125,6023,265,0,14349,28,0,64,53,0,0,0,0,15,485,82,212,154,0,349,173,0,0,296,165,0,14,30,57,8,169,42,69,6,21,11,944,66,43,0,0,0,506,0,69,237,118,417,137,46,54,18,16,0,3667,8311,11978,0.306144598,2.266430325
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000039.spe,418,78,7.8,6.72,1,0.018546,-0.012284,0.01043,0.119708,8294,1.51,8,12,453,0,0,0,385,1511,11768,122,6018,88,615,14327,102,75,85,13,0,0,6,45,33,602,83,131,107,0,341,132,0,177,563,106,31,82,165,24,87,145,96,72,22,31,30,381,57,0,18,0,0,16,0,0,214,152,337,110,92,87,46,61,32,2556,8687,11243,0.227341457,3.398669797
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000040.spe,420,80,8,6.73,1,0.018546,-0.012284,0.01043,0.119708,8347,1.42,0,7,452,0,10,0,386,1684,12024,44,5980,187,19,14647,79,14,109,22,14,0,7,0,57,531,69,152,81,0,284,180,0,91,444,180,0,88,0,71,22,224,58,113,12,0,25,752,129,93,0,50,0,505,0,0,257,152,482,141,63,0,32,34,35,3062,8317,11379,0.269092187,2.716198563
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000041.spe,422,82,8.2,6.76,1,0.018549,-0.012284,0.01043,0.119708,8330,1.32,15,0,442,0,0,11,384,1576,11801,124,6395,22,258,14585,74,35,39,0,0,0,9,0,89,595,106,176,107,0,0,68,202,201,356,77,0,0,96,0,0,86,0,22,20,52,37,603,0,51,6,0,0,233,0,59,225,89,477,84,64,30,0,31,0,2783,8298,11081,0.251150618,2.981674452
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000042.spe,424,84,8.4,6.77,1,0.018548,-0.012284,0.010413,0.119708,8633,1.4,0,15,500,0,5,18,390,1701,12442,104,6301,154,615,15567,100,23,85,78,0,0,0,33,35,528,126,175,107,0,203,108,0,80,385,69,35,15,79,0,11,134,0,45,11,53,92,538,26,63,0,0,0,40,0,0,201,112,416,57,24,95,36,0,45,3139,8224,11363,0.27624747,2.619942657
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000043.spe,426,86,8.6,6.78,1,0.018547,-0.012284,0.010506,0.119708,8711,1.38,0,16,543,0,11,22,371,1633,12733,116,6884,35,0,15695,55,7,72,63,8,0,0,21,14,594,63,188,164,0,47,44,151,204,278,113,0,89,79,72,7,139,26,64,15,9,0,978,29,33,0,0,0,521,0,0,224,69,407,56,24,64,6,0,43,2920,8563,11483,0.254288949,2.932534247
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000044.spe,428,88,8.8,6.79,1,0.018547,-0.012284,0.010543,0.119708,8627,1.38,0,12,550,0,5,27,393,1729,12445,209,6289,183,110,15723,126,0,100,84,21,0,12,0,55,598,28,92,141,0,303,120,0,89,413,142,13,71,0,0,8,214,44,92,38,29,0,794,73,88,0,16,0,282,0,0,277,135,510,120,46,28,0,0,49,2847,8706,11553,0.246429499,3.057955743
Data\BAS_sjro\June 2014\Cr_HE-tube\Potter Cove\L15\L15-H16 XRF\XRF data\L000045.spe,430,90,9,6.8,1,0.018549,-0.012284,0.010567,0.119708,8881,2.32,0,21,547,0,0,9,368,1673,13086,133,6692,181,0,15606,0,0,89,61,27,0,0,0,23,552,12,238,164,0,317,84,0,35,164,179,0,0,0,126,48,267,0,0,0,0,0,788,172,36,0,0,529,653,0,0,98,31,486,70,48,0,0,0,0,3264,8424,11688,0.27926078,2.580882353
