L15_GEOTEK_MSCL_SATURATED_CALIBRATION,,,,,,,,,,,,,,,
RECORD,SB_DEPTH,SECT_NUM,SECT_DEPTH,FIELD_DEPTH_[0_=_0-0.5_cm],STRAT_DEPTH_ITRAX,CoreThickness,PWAmp,PWVel,Den1_SAT_calibration,MS1,DCMS1,Imp_SAT_calibration,FP_SAT_calibration,RES_SAT_calibration,CONDUCTIVTY
,cm,,cm,cm,cm,cm,,m/s,g/cc,SI_x_10^-5,x_10^-8_m^3/kg,,,Ohm.m,Sm-1
L15-H2,56.6,3,3.6,0,0,1.061,0,10.8357,1.5853,0,0,17.1775,0.6656,1.302,0.768
L15-H2,56.8,3,3.8,0.2,0.2,1.073,0,10.9583,1.6739,0.4,0.239,18.3429,0.6149,1.2676,0.789
L15-H2,57,3,4,0.4,0.4,1.083,0,11.0604,1.7895,0.9,0.5029,19.7922,0.5489,1.2612,0.793
L15-H2,57.2,3,4.2,0.6,0.6,1.088,0,11.1115,1.8351,2.8,1.5258,20.3905,0.5228,1.2806,0.781
L15-H2,57.4,3,4.4,0.8,0.8,1.093,0,11.1625,1.9179,5.7,2.972,21.4088,0.4755,1.2077,0.828
L15-H2,57.6,3,4.6,1,1,1.093,0,11.1625,1.9394,9.3,4.7952,21.6491,0.4632,1.1829,0.845
L15-H2,57.8,3,4.8,1.2,1.2,1.094,0,11.1727,1.9716,12.6,6.3907,22.0283,0.4448,1.1745,0.851
L15-H2,58,3,5,1.4,1.4,1.093,0,11.1625,2.0098,14.4,7.165,22.434,0.423,1.1328,0.883
L15-H2,58.2,3,5.2,1.6,1.6,1.098,0,11.2136,2.0025,20.5,10.2373,22.4551,0.4271,1.137,0.880
L15-H2,58.4,3,5.4,1.8,1.8,1.108,0,11.3157,2.0258,37.4,18.4619,22.9233,0.4138,1.1918,0.839
L15-H2,58.6,3,5.6,2,2,1.114,0,11.377,2.0096,70.1,34.8825,22.8632,0.4231,1.1157,0.896
L15-H2,58.8,3,5.8,2.2,2.2,1.117,0,11.4076,1.9662,116.7,59.3528,22.4298,0.4479,1.1315,0.884
L15-H2,59,3,6,2.4,2.4,1.117,0,11.4076,1.9877,139.7,70.2809,22.6754,0.4356,1.0942,0.914
L15-H2,59.2,3,6.2,2.6,2.6,1.122,0,11.4587,2.0028,142.4,71.1017,22.9491,0.427,1.0921,0.916
L15-H2,59.4,3,6.4,2.8,2.8,1.122,0,11.4587,2.0129,145,72.0347,23.0654,0.4212,1.0462,0.956
L15-H2,59.6,3,6.6,3,3,1.122,0,11.4587,2.0383,146.7,71.9715,23.3563,0.4067,1.0713,0.933
L15-H2,59.8,3,6.8,3.2,3.2,1.122,0,11.4587,2.008,144.9,72.1605,23.0093,0.424,1.0354,0.966
L15-H2,60,3,7,3.4,3.4,1.117,0,11.4076,2.0493,158.6,77.3906,23.3782,0.4004,1.0066,0.993
L15-H2,60.2,3,7.2,3.6,3.6,1.114,0,11.377,2.0526,178.2,86.8184,23.352,0.3985,0.9813,1.019
L15-H2,60.4,3,7.4,3.8,3.8,1.114,0,11.377,2.0206,164.1,81.2155,22.9878,0.4168,0.998,1.002
L15-H2,60.6,3,7.6,4,4,1.108,0,11.3157,1.9164,120.3,62.7724,21.686,0.4763,0.96,1.042
L15-H2,60.8,3,7.8,4.2,4.2,1.103,0,11.2646,1.8398,83.7,45.495,20.7243,0.5201,0.9518,1.051
L15-H2,61,3,8,4.4,4.4,1.103,0,11.2646,1.8223,62.7,34.4073,20.5274,0.5301,0.9165,1.091
L15-H2,61.2,3,8.2,4.6,4.6,1.109,0,11.3259,1.7862,60.2,33.7019,20.2309,0.5507,0.9237,1.083
L15-H2,61.4,3,8.4,4.8,4.8,1.115,0,11.3872,1.7982,64.4,35.8136,20.4765,0.5439,0.9055,1.104
L15-H2,61.6,3,8.6,5,5,1.131,0,11.5506,1.8294,77.6,42.4187,21.1305,0.5261,0.8987,1.113
L15-H2,61.8,3,8.8,5.2,5.2,1.147,0,11.714,1.9141,76.7,40.0718,22.4214,0.4777,0.8921,1.121
L15-H2,62,3,9,5.4,5.4,1.174,0,11.9898,1.9704,74.7,37.912,23.6241,0.4455,0.8622,1.160
L15-H2,62.2,3,9.2,5.6,5.6,1.205,0,12.3063,1.9848,70.1,35.3178,24.4261,0.4372,0.8361,1.196
L15-H2,62.4,3,9.4,5.8,5.8,1.231,0,12.5719,2.0193,61.2,30.3081,25.3859,0.4176,0.8065,1.240
L15-H2,62.6,3,9.6,6,6,1.251,0,12.7761,2.0007,55.3,27.6402,25.5613,0.4282,0.8124,1.231
L15-H2,62.8,3,9.8,6.2,6.2,1.277,0,13.0417,2.0072,59.3,29.5429,26.1778,0.4244,0.8127,1.230
L15-H2,63,3,10,6.4,6.4,1.303,0,13.3072,2.0151,64.5,32.0089,26.8149,0.42,0.8016,1.248
L15-H2,63.2,3,10.2,6.6,6.6,1.343,0,13.7157,1.9704,67.2,34.1042,27.0259,0.4455,0.8134,1.229
L15-H2,63.4,3,10.4,6.8,6.8,1.381,0,14.1038,1.9833,71.8,36.2023,27.972,0.4381,0.829,1.206
L15-H2,63.6,3,10.6,7,7,1.412,0,14.4204,1.9709,72.7,36.8859,28.4218,0.4452,0.8511,1.175
L15-H2,63.8,3,10.8,7.2,7.2,1.44,0,14.7063,1.9967,67.7,33.9063,29.3639,0.4305,0.8622,1.160
L15-H2,64,3,11,7.4,7.4,1.471,0,15.0229,2.0118,66.5,33.0546,30.2235,0.4218,0.9354,1.069
L15-H2,64.2,3,11.2,7.6,7.6,1.5,0,15.3191,2.0497,76.3,37.2257,31.3989,0.4002,1.0056,0.994
L15-H2,64.4,3,11.4,7.8,7.8,1.524,0,15.5642,2.0633,91.3,44.2504,32.1129,0.3924,1.1122,0.899
L15-H2,64.6,3,11.6,8,8,1.545,0,15.7787,2.1072,103.8,49.2607,33.2482,0.3673,1.2354,0.809
L15-H2,64.8,3,11.8,8.2,8.2,1.565,0,15.9829,2.1191,116.4,54.9298,33.8689,0.3605,1.4409,0.694
L15-H2,65,3,12,8.4,8.4,1.585,0,16.1872,2.1245,132.5,62.3674,34.3898,0.3574,1.5137,0.661
L15-H2,65.2,3,12.2,8.6,8.6,1.6,0,16.3404,2.1641,156.5,72.3163,35.3623,0.3348,2.1181,0.472
L15-H2,65.4,3,12.4,8.8,8.8,1.616,0.002,981.178,2.1816,188.7,86.497,2140.516,0.3248,2.7066,0.369
L15-H2,65.6,3,12.6,9,9,1.632,0.0039,1227.991,2.1706,231.1,106.4693,2665.451,0.3311,3.9291,0.255
L15-H2,65.8,3,12.8,9.2,9.2,1.647,0.0065,1225.446,2.1571,277.7,128.7365,2643.434,0.3388,6.8809,0.145
L15-H2,66,3,13,9.4,9.4,1.658,0.0126,1220.913,2.1858,330,150.9768,2668.631,0.3224,26.9194,0.037
L15-H2,66.2,3,13.2,9.6,9.6,1.667,0.0183,1232.077,2.1657,376.6,173.896,2668.263,0.3339,18.0274,0.055
L15-H2,66.4,3,13.4,9.8,9.8,1.673,0.0165,1240.178,2.2479,413.6,183.993,2787.811,0.2869,6.4467,0.155
L15-H2,66.6,3,13.6,10,10,1.678,0.0148,1244.807,2.2081,455,206.06,2748.652,0.3097,6.0001,0.167
L15-H2,66.8,3,13.8,10.2,10.2,1.683,0.0147,1246.667,2.2165,492.5,222.2005,2763.195,0.3049,4.9369,0.203
L15-H2,67,3,14,10.4,10.4,1.685,0.0121,1245.381,2.2358,531.2,237.5831,2784.483,0.2938,4.3829,0.228
L15-H2,67.2,3,14.2,10.6,10.6,1.689,0.0172,1267.067,2.2076,578.9,262.2273,2797.211,0.3099,5.2353,0.191
L15-H2,67.4,3,14.4,10.8,10.8,1.694,0.018,1290.175,2.203,632.7,287.1943,2842.305,0.3125,5.3406,0.187
L15-H2,67.6,3,14.6,11,11,1.694,0.0185,1295.107,2.183,701.5,321.3513,2827.179,0.324,5.0688,0.197
L15-H2,67.8,3,14.8,11.2,11.2,1.699,0.0164,1297.938,2.1648,786.1,363.1276,2809.78,0.3344,6.0273,0.166
L15-H2,68,3,15,11.4,11.4,1.704,0.0257,1314.815,2.1749,870.4,400.2067,2859.559,0.3286,7.0514,0.142
L15-H2,68.2,3,15.2,11.6,11.6,1.704,0.025,1338.57,2.1706,951.9,438.5364,2905.54,0.3311,12.1837,0.082
L15-H2,68.4,3,15.4,11.8,11.8,1.705,0.0239,1364,2.1604,29.7,13.7471,2946.852,0.3369,12.2965,0.081
L15-H2,68.6,3,15.6,12,12,1.704,0.004,1361.022,2.1529,86.5,40.1788,2930.112,0.3412,5.9731,0.167
L15-H2,68.8,3,15.8,12.2,12.2,1.704,0.002,830.8142,2.1645,118.9,54.9313,1798.317,0.3346,6.5313,0.153
L15-H2,69,3,16,12.4,12.4,1.704,0.0063,1204.24,2.134,124.7,58.434,2569.886,0.352,4.7771,0.209
L15-H2,69.2,3,16.2,12.6,12.6,1.704,0.0116,1222.382,2.1391,126.8,59.2785,2614.743,0.3491,6.1577,0.162
L15-H2,69.4,3,16.4,12.8,12.8,1.704,0.0172,1245.614,2.0986,150.2,71.5722,2614.021,0.3722,4.7943,0.209
L15-H2,69.6,3,16.6,13,13,1.704,0.0234,1260.355,2.1061,195.3,92.7299,2654.454,0.3679,5.2839,0.189
L15-H2,69.8,3,16.8,13.2,13.2,1.699,0.0127,1254.801,2.0981,229,109.145,2632.731,0.3725,4.0779,0.245
L15-H2,70,3,17,13.4,13.4,1.697,0.0077,1234.182,2.0616,260.9,126.5551,2544.331,0.3934,5.3766,0.186
L15-H2,70.2,3,17.2,13.6,13.6,1.694,0.0048,1245.588,2.0708,319.3,154.1935,2579.333,0.3881,7.433,0.135
L15-H2,70.4,3,17.4,13.8,13.8,1.694,0.0047,1276.564,2.0829,338.3,162.4207,2658.906,0.3812,9.9602,0.100
L15-H2,70.6,3,17.6,14,14,1.694,0.0024,1013.158,2.0661,297.6,144.0423,2093.244,0.3908,11.1287,0.090
L15-H2,70.8,3,17.8,14.2,14.2,1.696,0,17.3208,2.0787,226,108.7232,36.0043,0.3836,16.3281,0.061
L15-H2,71,3,18,14.4,14.4,1.704,0,17.4025,2.0876,189,90.5352,36.3292,0.3785,19.0625,0.052
L15-H2,71.2,3,18.2,14.6,14.6,1.709,0,17.4536,2.0806,163.5,78.5829,36.314,0.3825,7.8426,0.128
L15-H2,71.4,3,18.4,14.8,14.8,1.725,0,17.617,2.0973,137.7,65.6559,36.948,0.373,8.3875,0.119
L15-H2,71.6,3,18.6,15,15,1.743,0,17.8008,2.0916,99,47.3312,37.2329,0.3762,5.749,0.174
L15-H2,71.8,3,18.8,15.2,15.2,1.763,0,18.005,2.0903,18.3,8.7548,37.6355,0.377,4.5325,0.221
L15-H2,72,3,19,15.4,15.4,1.79,0,18.2808,2.0931,935.7,447.0333,38.2641,0.3754,4.0162,0.249
L15-H2,72.2,3,19.2,15.6,15.6,1.82,0,18.5872,2.0532,871.1,424.2611,38.1635,0.3982,3.0205,0.331
L15-H2,72.4,3,19.4,15.8,15.8,1.857,0,18.965,2.0574,821.7,399.3841,39.019,0.3958,2.5854,0.387
L15-H2,72.6,3,19.6,16,16,1.888,0,19.2816,2.025,789.3,389.7779,39.0453,0.4143,2.1385,0.468
L15-H2,72.8,3,19.8,16.2,16.2,1.919,0,19.5982,2.0104,773.3,384.6587,39.3994,0.4227,1.9406,0.515
L15-H2,73,3,20,16.4,16.4,1.945,0,19.8638,2.0493,755.5,368.6675,40.7063,0.4004,1.7482,0.572
L15-H2,73.2,3,20.2,16.6,16.6,1.971,0,20.1293,2.0589,754.2,366.318,41.4435,0.3949,1.5778,0.634
L15-H2,73.4,3,20.4,16.8,16.8,1.997,0,20.3948,2.0714,750.1,362.1171,42.2464,0.3878,1.453,0.688
L15-H2,73.6,3,20.6,17,17,2.017,0,20.5991,2.1133,603.3,285.48,43.5317,0.3638,1.5057,0.664
L15-H2,73.8,3,20.8,17.2,17.2,2.033,0,20.7625,2.2037,535.5,242.9978,45.7548,0.3122,1.4043,0.712
L15-H2,74,3,21,17.4,17.4,2.044,0,20.8748,2.2405,486.4,217.0918,46.7706,0.2911,1.4425,0.693
L15-H2,74.2,3,21.2,17.6,17.6,2.054,0,20.977,2.3373,417.2,178.4951,49.0298,0.2358,1.4626,0.684
L15-H2,74.4,3,21.4,17.8,17.8,2.064,0,21.0791,2.4456,418.7,171.2027,51.5518,0.1739,1.5382,0.650
L15-H2,74.6,3,21.6,18,18,2.079,0,21.2323,2.5493,443.9,174.1269,54.1272,0.1147,1.7055,0.586
L15-H2,74.8,3,21.8,18.2,18.2,2.086,0,21.3038,,514.6,,,,1.7092,0.585
L15-H2,75,3,22,18.4,18.4,2.096,0,21.4059,,614.9,,,,1.8225,0.549
L15-H2,75.2,3,22.2,18.6,18.6,2.123,0,21.6816,,759.2,,,,1.9127,0.523
L15-H2,75.4,3,22.4,18.8,18.8,2.158,0,22.0391,,907.4,,,,1.9154,0.522
L15-H2,75.6,3,22.6,19,19,2.185,0,22.3148,,959.1,,,,2.2195,0.451
L15-H2,75.8,3,22.8,19.2,19.2,2.206,0,22.5293,,941.2,,,,2.0132,0.497
L15-H2,76,3,23,19.4,19.4,2.227,0,22.7438,,784.9,,,,1.8936,0.528
L15-H2,76.2,3,23.2,19.6,19.6,2.237,0,22.8459,,720.4,,,,2.0051,0.499
L15-H2,76.4,3,23.4,19.8,19.8,2.248,0,22.9582,,720.3,,,,1.935,0.517
L15-H2,76.6,3,23.6,20,20,2.25,0,22.9787,,725,,,,1.7699,0.565
L15-H2,76.8,3,23.8,20.2,20.2,2.26,0,23.0808,,548.8,,,,1.7979,0.556
L15-H2,77,3,24,20.4,20.4,2.286,0,23.3463,,404.1,,,,1.602,0.624
L15-H2,77.2,3,24.2,20.6,20.6,2.312,0,23.6118,,365.4,,,,1.5097,0.662
L15-H2,77.4,3,24.4,20.8,20.8,2.344,0,23.9386,,352.1,,,,1.3752,0.727
L15-H2,77.6,3,24.6,21,21,2.38,0,24.3063,,391.7,,,,1.3334,0.750
L15-H2,77.8,3,24.8,21.2,21.2,2.395,0,24.4595,,436.7,,,,1.1932,0.838
L15-H2,78,3,25,21.4,21.4,2.41,0,24.6127,,549.9,,,,1.121,0.892
L15-H2,78.2,3,25.2,21.6,21.6,2.416,0,24.674,,654,,,,1.0613,0.942
L15-H2,78.4,3,25.4,21.8,21.8,2.421,0,24.725,,752,,,,1.0479,0.954
L15-H2,78.6,3,25.6,22,22,2.421,0,24.725,,707.9,,,,1.0733,0.932
L15-H2,78.8,3,25.8,22.2,22.2,2.421,0,24.725,,689.7,,,,0.9724,1.028
L15-H2,79,3,26,22.4,22.4,2.42,0,24.7148,,606.8,,,,0.9559,1.046
L15-H2,79.2,3,26.2,22.6,22.6,2.416,0,24.674,,599.6,,,,0.963,1.038
L15-H2,79.4,3,26.4,22.8,22.8,2.411,0,24.6229,,672.7,,,,1.0114,0.989
L15-H2,79.6,3,26.6,23,23,2.4,0,24.5106,,857,,,,1.0897,0.918
L15-H2,79.8,3,26.8,23.2,23.2,2.38,0,24.3063,,991,,,,1.1854,0.844
L15-H2,80,3,27,23.4,23.4,2.343,0,23.9284,,113.2,,,,1.3114,0.763
L15-H2,80.2,3,27.2,23.6,23.6,2.307,0,23.5608,,190.1,,,,1.5006,0.666
L15-H2,80.4,3,27.4,23.8,23.8,2.302,0,23.5097,,273.8,,,,1.7505,0.571
L15-H2,80.6,3,27.6,24,24,2.281,0,23.2952,,374.8,,,,2.3477,0.426
L15-H2,80.8,3,27.8,24.2,24.2,2.276,0,23.2442,,511.7,,,,2.7648,0.362
L15-H2,81,3,28,24.4,24.4,2.266,0,23.1421,,625.5,,,,3.3735,0.296
L15-H2,81.2,3,28.2,24.6,24.6,2.255,0,23.0297,,16.8,,,,5.256,0.190
L15-H2,81.4,3,28.4,24.8,24.8,2.242,0,22.8969,,755.6,,,,9.4186,0.106
L15-H2,81.6,3,28.6,25,25,2.233,0,22.805,,740.5,,,,16.1298,0.062
L15-H2,81.8,3,28.8,25.2,25.2,2.232,0,22.7948,,728.2,,,,24.9004,0.040
L15-H2,82,3,29,25.4,25.4,2.232,0,22.7948,,777.1,,,,20.859,0.048
L15-H2,82.2,3,29.2,25.6,25.6,2.232,0,22.7948,,846.6,,,,12.3346,0.081
L15-H2,82.4,3,29.4,25.8,25.8,2.232,0,22.7948,,885.9,,,,12.568,0.080
L15-H2,82.6,3,29.6,26,26,2.233,0,22.805,,815.1,,,,9.0753,0.110
L15-H2,82.8,3,29.8,26.2,26.2,2.237,0,22.8459,,826.7,,,,11.1912,0.089
L15-H2,83,3,30,26.4,26.4,2.238,0,22.8561,,931.5,,,,8.3349,0.120
L15-H2,83.2,3,30.2,26.6,26.6,2.243,0,22.9072,,37.1,,,,10.9754,0.091
L15-H2,83.4,3,30.4,26.8,26.8,2.243,0,22.9072,,143.6,,,,8.5495,0.117
L15-H2,83.6,3,30.6,27,27,2.245,0,22.9276,,356.5,,,,8.737,0.114
L15-H2,83.8,3,30.8,27.2,27.2,2.245,0,22.9276,,566.6,,,,22.5088,0.044
L15-H2,84,3,31,27.4,27.4,2.25,0,22.9787,,550.6,,,,38.6802,0.026
L15-H2,84.2,3,31.2,27.6,27.6,2.247,0,22.948,,322.8,,,,24.9004,0.040
L15-H2,84.4,3,31.4,27.8,27.8,2.25,0,22.9787,,989.3,,,,9.4633,0.106
L15-H2,84.6,3,31.6,28,28,2.26,0,23.0808,,837.5,,,,4.5794,0.218
L15-H2,84.8,3,31.8,28.2,28.2,2.266,0,23.1421,,831,,,,3.9329,0.254
L15-H2,85,3,32,28.4,28.4,2.271,0,23.1931,,932.9,,,,2.9799,0.336
L15-H2,85.2,3,32.2,28.6,28.6,2.276,0,23.2442,,95.7,,,,2.4578,0.407
L15-H2,85.4,3,32.4,28.8,28.8,2.281,0,23.2952,,177.8,,,,1.9665,0.509
L15-H2,85.6,3,32.6,29,29,2.281,0,23.2952,,59.7,,,,1.6328,0.612
L15-H2,85.8,3,32.8,29.2,29.2,2.282,0,23.3055,,578.1,,,,1.3396,0.746
L15-H2,86,3,33,29.4,29.4,2.286,0,23.3463,,579.9,,,,1.1561,0.865
L15-H2,86.2,3,33.2,29.6,29.6,2.287,0,23.3565,,562.4,,,,1.0888,0.918
L15-H2,86.4,3,33.4,29.8,29.8,2.291,0,23.3974,,599.6,,,,1.0383,0.963
L15-H2,86.6,3,33.6,30,30,2.292,0,23.4076,,675.4,,,,0.9497,1.053
L15-H2,86.8,3,33.8,30.2,30.2,2.292,0,23.4076,,716.6,,,,0.9459,1.057
L15-H2,87,3,34,30.4,30.4,2.292,0,23.4076,,842.8,,,,0.9874,1.013
L15-H2,87.2,3,34.2,30.6,30.6,2.281,0,23.2952,,70.8,,,,1.0226,0.978
L15-H2,87.4,3,34.4,30.8,30.8,2.281,0,23.2952,,356.8,,,,1.0782,0.927
L15-H2,87.6,3,34.6,31,31,2.271,0,23.1931,,661.7,,,,1.2165,0.822
L15-H2,87.8,3,34.8,31.2,31.2,2.261,0,23.091,,678.1,,,,1.3911,0.719
L15-H2,88,3,35,31.4,31.4,2.24,0,22.8765,2.4025,635.7,,,0.1986,1.7382,0.575
L15-H2,88.2,3,35.2,31.6,31.6,2.212,0,22.5906,2.0356,661.3,324.8745,45.9843,0.4083,2.108,0.474
L15-H2,88.4,3,35.4,31.8,31.8,2.17,0,22.1616,1.7392,729.6,419.5016,38.5437,0.5776,3.6417,0.275
L15-H2,88.6,3,35.6,32,32,2.149,0,21.9472,1.4323,657.5,459.0461,31.4353,0.753,9.0753,0.110
L15-H2,88.8,3,35.8,32.2,32.2,2.11,0,21.5489,1.2218,420.5,344.1507,26.3295,0.8732,13.7857,0.073
L15-H2,89,3,36,32.4,32.4,2.077,0,21.2118,1.0463,177.2,169.3521,22.1948,0.9735,4.1457,0.241
L15-H2,89.2,3,36.2,32.6,32.6,2.038,0,20.8136,0.903,974.1,1078.695,18.7954,1.0554,2.4029,0.416
L15-H2,89.4,3,36.4,32.8,32.8,1.971,0,20.1293,0.8185,597.6,730.1266,16.4756,1.1037,1.6677,0.600
L15-H2,89.6,3,36.6,33,33,1.93,0,19.7106,0.75,367.9,490.5071,14.7837,1.1428,1.2956,0.772
L15-H2,89.8,3,36.8,33.2,33.2,1.893,0,19.3327,0.7278,153.5,210.903,14.0708,1.1555,1.1328,0.883
L15-H2,90,3,37,33.4,33.4,1.775,0,18.1276,0.7803,115.7,148.2728,14.1453,1.1255,0.9864,1.014
L15-H2,90.2,3,37.2,33.6,33.6,1.596,0,16.2995,0.8479,44.7,52.7171,13.8207,1.0869,0.8919,1.121
L15-H2,90.4,3,37.4,33.8,33.8,1.355,0,13.8383,0.9824,25.8,26.2632,13.5942,1.0101,0.925,1.081
L15-H2,90.6,3,37.6,34,34,1.078,0,11.0093,1.2293,14.6,11.8771,13.5333,0.869,0.8941,1.118