Continent,Country,Region,Location,Site_name,Feature,Latitude_(oS),Longitude_(oW),Elevation_(m_amsl),Dating_method,Material_dated,Strat._Depth_(cm),Interpretation,Reference_and_map_ID,Map_ID,Sample_ID,Measured_age_(14C_yr_BP_±_1σ),1s,,Oxcal_v4.4_SHCal20,from,to,%,from,to,%,μ,σ,m,Oxcal_v4.4_SHCal13,from,to,%,from,to,%,μ,σ,m
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,43.6,Age model construction,Oliva et al 2016a ,13,ULA-4247,2600,20,shcal20, R_Date ULA-4247,2750,2545,68.3,2755,2500,95.4,2668,81,2716, R_Date ULA-4247,2749,2545,68.3,2754,2501,95.4,2670,81,2718
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,48.3,Age model construction,Oliva et al 2016a ,13,ULA-4653,2925,20,shcal20, R_Date ULA-4653,3065,2964,68.3,3153,2886,95.4,3023,57,3021, R_Date ULA-4653,3060,2963,68.3,3141,2890,95.4,3011,52,3009
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,54.3,Age model construction,Oliva et al 2016a ,13,ULA-4652,3220,20,shcal20, R_Date ULA-4652,3444,3371,68.3,3450,3354,95.4,3401,31,3400, R_Date ULA-4652,3445,3374,68.3,3455,3352,95.4,3404,31,3403
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,58.3,Age model construction,Oliva et al 2016a ,13,ULA-4663,3325,25,shcal20, R_Date ULA-4663,3560,3455,68.3,3574,3408,95.4,3505,43,3506, R_Date ULA-4663,3560,3475,68.3,3587,3410,95.4,3511,41,3511
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,64.8,Age model construction,Oliva et al 2016a ,13,ULA-4255,3630,15,shcal20, R_Date ULA-4255,3962,3850,68.3,3982,3831,95.4,3901,47,3898, R_Date ULA-4255,3920,3845,68.3,3972,3834,95.4,3893,40,3889
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,131.6,Age model construction,Oliva et al 2016a ,13,ULA-4254,3765,15,shcal20, R_Date ULA-4254,4147,3992,68.3,4219,3981,95.4,4072,58,4076, R_Date ULA-4254,4144,3991,68.3,4149,3983,95.4,4062,52,4058
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,138.2,Age model construction,Oliva et al 2016a ,13,ULA-4703,4265,20,shcal20, R_Date ULA-4703,4850,4657,68.3,4859,4644,95.4,4770,66,4756, R_Date ULA-4703,4845,4711,68.3,4855,4644,95.4,4767,63,4752
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Escondido Lake,Freshwater lake,-62.6431,-61.0594,92,14C,Aquatic moss ,143.1,Minimum age for deglaciation,Oliva et al 2016a ,13,ULA-4243,4600,20,shcal20, R_Date ULA-4243,5319,5073,68.3,5439,5052,95.4,5220,102,5241, R_Date ULA-4243,5315,5076,68.3,5433,5054,95.4,5199,93,5163
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_ByP_Lake 49,Freshwater lake,-62.6452,-61.0794,80,14C,Freshwater moss ,93-100,Minimum age for deglaciation,Björck et al 1996 ,3,Lu-3473,3730,400,shcal20, R_Date Lu-3473,4575,3489,68.3,5282,3079,95.4,4116,529,4094, R_Date Lu-3473,4779,3496,68.3,5280,3077,95.4,4111,528,4089
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,13.3-13.5,Age model construction,Toro et al 2013 ,23,Poz-39062,555,30,shcal20, R_Date Poz-39062,543,515,68.3,556,501,95.4,531,19,529, R_Date Poz-39062,545,515,68.3,555,504,95.4,531,16,530
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,19.5-19.7,Age model construction,Toro et al 2013 ,23,Poz-39063,565,30,shcal20, R_Date Poz-39063,547,519,68.3,622,503,95.4,536,23,534, R_Date Poz-39063,548,520,68.3,560,503,95.4,536,20,534
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,24-24.5,Age model construction,Toro et al 2013 ,23,Beta-299978,490,30,shcal20, R_Date Beta-299978,519,493,68.3,539,461,95.4,501,27,505, R_Date Beta-299978,519,494,68.3,538,468,95.4,503,22,506
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,26.2-26.7,Age model construction,Toro et al 2013 ,23,Poz-39064,580,30,shcal20, R_Date Poz-39064,555,520,68.3,626,509,95.4,548,30,541, R_Date Poz-39064,554,523,68.3,626,510,95.4,546,27,541
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,33.2-33.4,Age model construction,Toro et al 2013 ,23,Poz-39066,850,30,shcal20, R_Date Poz-39066,735,680,68.3,767,673,95.4,715,27,713, R_Date Poz-39066,735,684,68.3,767,675,95.4,716,25,715
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,39-39.7,Age model construction,Toro et al 2013 ,23,Poz-39067,1045,35,shcal20, R_Date Poz-39067,958,816,68.3,960,800,95.4,890,51,906, R_Date Poz-39067,957,821,68.3,963,802,95.4,891,49,908
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,48.7-49.3,Age model construction,Toro et al 2013 ,23,Poz-39068,1280,30,shcal20, R_Date Poz-39068,1259,1077,68.3,1265,1067,95.4,1154,59,1140, R_Date Poz-39068,1185,1075,68.3,1266,1069,95.4,1157,56,1149
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,56.4-57,Age model construction,Toro et al 2013 ,23,Poz-39070,1445,30,shcal20, R_Date Poz-39070,1346,1285,68.3,1360,1273,95.4,1308,28,1306, R_Date Poz-39070,1320,1283,68.3,1355,1274,95.4,1310,23,1307
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,56-57,Age model construction,Toro et al 2013 ,23,Beta-299979,1490,30,shcal20, R_Date Beta-299979,1354,1309,68.3,1403,1297,95.4,1338,24,1336, R_Date Beta-299979,1354,1309,68.3,1401,1298,95.4,1338,24,1336
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,65-65.5,Age model construction,Toro et al 2013 ,23,Poz-39071,1665,35,shcal20, R_Date Poz-39071,1565,1429,68.3,1588,1415,95.4,1507,50,1512, R_Date Poz-39071,1567,1434,68.3,1590,1415,95.4,1510,49,1516
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,75.8-76.4,Age model construction,Toro et al 2013 ,23,Poz-39072,1990,30,shcal20, R_Date Poz-39072,1985,1838,68.3,1995,1830,95.4,1904,47,1901, R_Date Poz-39072,1984,1839,68.3,1997,1830,95.4,1904,45,1901
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,85-85.3,Age model construction,Toro et al 2013 ,23,Poz-39073,2150,35,shcal20, R_Date Poz-39073,2112,2015,68.3,2296,2001,95.4,2086,69,2075, R_Date Poz-39073,2147,2018,68.3,2300,2001,95.4,2098,68,2087
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,94.3-94.8,Age model construction,Toro et al 2013 ,23,Poz-39074,2475,30,shcal20, R_Date Poz-39074,2684,2364,68.3,2703,2354,95.4,2516,107,2489, R_Date Poz-39074,2679,2362,68.3,2701,2354,95.4,2509,107,2479
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,97.9-98.3,Age model construction,Toro et al 2013 ,23,Poz-39075,2915,35,shcal20, R_Date Poz-39075,3073,2936,68.3,3152,2877,95.4,3010,70,3008, R_Date Poz-39075,3065,2944,68.3,3142,2875,95.4,2999,66,2996
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,102.3-102.5,Age model construction,Toro et al 2013 ,23,Poz-39076,2790,35,shcal20, R_Date Poz-39076,2880,2778,68.3,2949,2765,95.4,2849,52,2844, R_Date Poz-39076,2873,2783,68.3,2945,2763,95.4,2843,47,2838
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,104.9-105.4,Age model construction,Toro et al 2013 ,23,Poz-39077,2815,35,shcal20, R_Date Poz-39077,2936,2790,68.3,2992,2771,95.4,2876,57,2875, R_Date Poz-39077,2925,2794,68.3,2962,2775,95.4,2869,52,2867
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,100-110.5,Age model construction,Toro et al 2013 ,23,Poz-39255,3210,35,shcal20, R_Date Poz-39255,3445,3361,68.3,3455,3255,95.4,3386,48,3391, R_Date Poz-39255,3446,3361,68.3,3476,3255,95.4,3390,51,3393
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,112.3-112.8,Age model construction,Toro et al 2013 ,23,Poz-39080,3440,35,shcal20, R_Date Poz-39080,3692,3581,68.3,3825,3494,95.4,3652,69,3646, R_Date Poz-39080,3692,3589,68.3,3824,3513,95.4,3648,60,3643
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,122.1-122.5,Age model construction,Toro et al 2013 ,23,Poz-39081,3625,35,shcal20, R_Date Poz-39081,3968,3838,68.3,4073,3725,95.4,3894,69,3894, R_Date Poz-39081,3962,3836,68.3,4061,3724,95.4,3884,65,3885
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,130-130.4,Age model construction,Toro et al 2013 ,23,Poz-39082,4150,35,shcal20, R_Date Poz-39082,4802,4530,68.3,4823,4450,95.4,4656,95,4645, R_Date Poz-39082,4801,4530,68.3,4821,4450,95.4,4649,95,4634
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,140.3-140.7,Age model construction,Toro et al 2013 ,23,Poz-39083,4770,40,shcal20, R_Date Poz-39083,5576,5331,68.3,5583,5325,95.4,5462,81,5474, R_Date Poz-39083,5580,5330,68.3,5584,5324,95.4,5459,83,5469
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,188.3-188.5,Age model construction,Toro et al 2013 ,23,Poz-39086,4670,40,shcal20, R_Date Poz-39086,5458,5310,68.3,5554,5090,95.4,5382,76,5397, R_Date Poz-39086,5453,5304,68.3,5574,5083,95.4,5376,85,5396
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,190.7-191.2,Age model construction,Toro et al 2013 ,23,Poz-39087,4680,40,shcal20, R_Date Poz-39087,5459,5314,68.3,5567,5290,95.4,5391,68,5399, R_Date Poz-39087,5456,5310,68.3,5576,5145,95.4,5389,76,5400
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,200.2-200.6,Age model construction,Toro et al 2013 ,23,Poz-39088,5610,40,shcal20, R_Date Poz-39088,6395,6309,68.3,6447,6287,95.4,6360,44,6357, R_Date Poz-39088,6397,6309,68.3,6436,6288,95.4,6357,40,6355
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Limnopolar Lake,Freshwater lake,-62.6375,-61.1083,80,14C,Aquatic moss ,205.2-205.4,Minimum age for deglaciation,Toro et al 2013 ,23,Poz-39090,6700,50,shcal20, R_Date Poz-39090,7581,7482,68.3,7617,7428,95.4,7531,51,7531, R_Date Poz-39090,7578,7490,68.3,7610,7436,95.4,7531,44,7532
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Midge Lake,Freshwater lake,-62.6361,-61.0875,70,14C,Freshwater moss ,11-Dec,Upper limit of cool and arid period,Björck et al 1991a ,1,Ua-1216,755,105,shcal20, R_Date Ua-1216,730,559,68.3,902,517,95.4,667,85,662, R_Date Ua-1216,731,560,68.3,902,519,95.4,668,84,663
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Midge Lake,Freshwater lake,-62.6361,-61.0875,70,14C,Freshwater moss ,20-21,Onset of cool and arid conditions,Björck et al 1991a ,1,Ua-1217,1340,100,shcal20, R_Date Ua-1217,1300,1079,68.3,1369,964,95.4,1191,101,1199, R_Date Ua-1217,1300,1092,68.3,1369,975,95.4,1192,100,1200
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Midge Lake,Freshwater lake,-62.6361,-61.0875,70,14C,Freshwater moss ,56-63,Age model construction,Björck et al 1991a ,1,Ua-1218,2635,100,shcal20, R_Date Ua-1218,2847,2494,68.3,2919,2359,95.4,2657,144,2669, R_Date Ua-1218,2841,2491,68.3,2877,2359,95.4,2651,140,2659
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Midge Lake,Freshwater lake,-62.6361,-61.0875,70,14C,Freshwater moss ,77,Upper limit of warm productive period,Björck et al 1991a ,1,Ua-1219,2715,100,shcal20, R_Date Ua-1219,2943,2720,68.3,3069,2470,95.4,2790,140,2801, R_Date Ua-1219,2945,2716,68.3,3062,2471,95.4,2782,140,2795
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Midge Lake,Freshwater lake,-62.6361,-61.0875,70,14C,Freshwater moss ,151,Minimum age for deglaciation,Björck et al 1991a ,1,Ua-1220,3735,250,shcal20, R_Date Ua-1220,4412,3719,68.3,4815,3453,95.4,4083,340,4071, R_Date Ua-1220,4410,3721,68.3,4815,3453,95.4,4079,337,4066
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake 30,Freshwater lake,-62.637,-61.0922,65,14C,Freshwater moss ,117-124,Minimum age for deglaciation,Björck et al 1996 ,3,Ua-3925,4480,60,shcal20, R_Date Ua-3925,5280,4889,68.3,5289,4873,95.4,5088,124,5083, R_Date Ua-3925,5275,4891,68.3,5288,4869,95.4,5078,124,5061
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake 22,Freshwater lake,-62.656,-61.097,50,14C,Freshwater moss ,81-86,Minimum age for deglaciation,Björck et al 1996 ,3,Lu-3464,3430,180,shcal20, R_Date Lu-3464,3875,3410,68.3,4150,3215,95.4,3671,231,3660, R_Date Lu-3464,3869,3409,68.3,4150,3210,95.4,3666,231,3657
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake Åsa_Lake 35,Freshwater lake,-62.6267,-61.1032,35,14C,Aquatic moss ,163-168,Period of increased temperature and humidity,Björck et al 1993 ,2,Lu-3089,3480,140,shcal20, R_Date Lu-3089,3880,3490,68.3,4086,3386,95.4,3720,182,3712, R_Date Lu-3089,3885,3510,68.3,4084,3383,95.4,3718,179,3711
Antarctica,South Shetland Islands,Livingston Island , Byers Peninsula,ByP_Lake Åsa,Freshwater lake,-62.6267,-61.1032,35,14C,Aquatic moss ,205-210,Minimum age for deglaciation,Björck et al 1993 ,2,Lu-3088,4600,100,shcal20, R_Date Lu-3088,5445,5047,68.3,5567,4880,95.4,5219,162,5215, R_Date Lu-3088,5445,5045,68.3,5575,4880,95.4,5213,161,5206